train/learning_rate,train/actor_loss,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,time/episodes,train/ent_coef,rollout/ep_len_mean,train/n_updates,time/time_elapsed,eval/ep_b3_mean,eval/ep_pump_price_obj_std,eval/ep_pressure_obj_mean,eval/ep_timesteps_below_zero,eval/ep_b1_mean,eval/ep_pressure_obj_std,eval/ep_nodes_below_zero,eval/ep_b3_std,eval/ep_pump_price_obj_mean,eval/ep_b1_std,eval/ep_nodes_below_threshold,eval/ep_nodes_above_threshold,eval/ep_b2_std,eval/ep_b2_mean
0.003,-0.4393875002861023,647,12.718553374999999,384,0.03673771023750305,4,0.009999999776482582,48.0,35,0,,,,,,,,,,,,,,
,,639,12.718553374999999,384,,8,,48.0,,0,,,,,,,,,,,,,,
0.003,-0.6401945352554321,631,16.1506125625,768,0.018573887646198273,12,0.009999999776482582,48.0,83,1,,,,,,,,,,,,,,
,,628,16.1506125625,768,,16,,48.0,,1,,,,,,,,,,,,,,
0.003,-0.7201341390609741,549,17.910767041666666,1152,0.008182317018508911,20,0.009999999776482582,48.0,131,2,0.7689529174097597,0.3470585697260555,1.0,0,0.7233569891740552,0.0,0.0,0.3441124169815525,0.5173832160323952,0.34703414897803003,0.0,0.0,0.15408784438469492,0.19407269218641085
,,543,17.910767041666666,1152,,24,,48.0,,2,,,,,,,,,,,,,,
0.003,-0.7919530272483826,564,18.751517156250003,1536,0.006937512196600437,28,0.009999999776482582,48.0,179,2,,,,,,,,,,,,,,
,,562,18.751517156250003,1536,,32,,48.0,,2,,,,,,,,,,,,,,
0.003,-0.9139626026153564,525,19.32700205,1920,0.007033484987914562,36,0.009999999776482582,48.0,227,3,0.6366874572835057,0.277807314368578,0.9989035087719298,0,0.8674608690053304,0.007596714068284557,0.0,0.3559239240914126,0.5704457442872308,0.11390011548113738,0.0,0.0010741138560687433,0.2392820710594249,0.43960851595004413
,,523,19.32700205,1920,,40,,48.0,,3,,,,,,,,,,,,,,
0.003,-0.9836721420288086,539,19.706873583333333,2304,0.004839594475924969,44,0.009999999776482582,48.0,275,4,,,,,,,,,,,,,,
,,538,19.706873583333333,2304,,48,,48.0,,4,,,,,,,,,,,,,,
0.003,-1.0763065814971924,517,19.995351625,2688,0.010285450145602226,52,0.009999999776482582,48.0,323,5,0.7256090851115587,0.3325595684808435,1.0,0,0.7937202029953885,0.0,0.0,0.319785153513875,0.605814530583313,0.21356931413747737,0.0,0.0,0.13458756358823112,0.3075610239276271
,,516,19.995351625,2688,,56,,48.0,,5,,,,,,,,,,,,,,
0.003,-1.1750235557556152,527,20.198523578125,3072,0.012500159442424774,60,0.009999999776482582,48.0,371,5,,,,,,,,,,,,,,
,,527,20.198523578125,3072,,64,,48.0,,5,,,,,,,,,,,,,,
0.003,-1.2279794216156006,512,20.36320222222222,3456,0.007118104957044125,68,0.009999999776482582,48.0,419,6,0.6656080749223078,0.33187205490129634,1.0,0,0.6934859803399949,0.0,0.0,0.33611853015247567,0.6760525259521276,0.2900017175645051,0.0,0.0,0.1233767436155788,0.5250760290685156
,,511,20.36320222222222,3456,,72,,48.0,,6,,,,,,,,,,,,,,
