#{"t_start": 1744290594.0488474, "env_id": "ATM"}
r,l,t
14.93448,48,0.902047
20.459881,48,1.524857
21.414687,48,2.408292
21.641341,48,3.031604
21.637122,48,3.960947
21.467559,48,4.582151
22.000483,48,5.499622
21.965409,48,6.131968
21.446925,48,7.050696
21.140775,48,7.675771
21.293051,48,8.656018
21.791741,48,9.301947
21.650019,48,10.225046
21.749005,48,10.836477
21.436862,48,11.742805
21.67656,48,12.374574
21.901211,48,13.361338
21.87607,48,14.005827
21.765275,48,14.928269
21.765382,48,15.546991
21.402424,48,16.522955
22.159624,48,17.15027
21.588913,48,18.056299
21.879656,48,18.677384
21.83917,48,19.329701
21.722506,48,20.274504
21.77352,48,20.890708
22.141719,48,21.809681
21.863841,48,22.429252
20.619957,48,23.363846
21.077896,48,24.005193
21.888786,48,24.923617
21.770316,48,25.582276
21.476972,48,26.507398
21.366875,48,27.131862
21.372185,48,28.051358
21.536058,48,28.683617
21.67347,48,29.638526
21.934059,48,30.287046
21.879953,48,31.20633
21.843182,48,31.827902
21.946319,48,32.786087
21.154639,48,33.409264
21.54634,48,34.352357
21.161536,48,34.986076
21.580529,48,35.920913
21.527701,48,36.549961
21.936386,48,37.485456
21.663874,48,38.098739
21.751499,48,38.714245
21.608606,48,39.691782
21.966529,48,40.396437
21.92791,48,41.379442
21.967609,48,42.007634
21.581433,48,42.972967
21.559859,48,43.859339
21.595379,48,44.797881
21.174856,48,45.433219
20.825704,48,46.352858
21.961163,48,46.973278
21.765929,48,47.88808
21.602002,48,48.500033
21.374352,48,49.472646
21.5753,48,50.09293
21.738564,48,51.052204
20.845093,48,51.685602
21.396659,48,52.616938
21.599836,48,53.256761
21.733959,48,54.19263
21.824495,48,54.857608
21.703049,48,55.797734
21.690186,48,56.438303
20.799214,48,57.388151
20.909452,48,58.012005
21.797336,48,58.64051
21.721247,48,59.60877
21.772635,48,60.240026
21.461429,48,61.185866
20.883208,48,61.875351
21.830581,48,62.796685
21.624338,48,63.42577
21.376697,48,64.370408
21.759544,48,65.01173
21.478586,48,65.982837
21.617753,48,66.607019
21.774404,48,67.548288
21.819041,48,68.176604
21.822436,48,69.095488
21.699441,48,69.726772
21.52516,48,70.643852
21.647639,48,71.268656
21.6638,48,72.218771
21.85777,48,72.854301
21.842388,48,73.768613
21.523447,48,74.388767
21.927298,48,75.317085
21.627146,48,75.934158
21.742754,48,76.860612
21.88949,48,77.49015
21.131384,48,78.1021
21.959912,48,79.023246
21.243904,48,79.645664
21.902941,48,80.555968
21.617379,48,81.18835
21.650128,48,82.122954
21.771955,48,82.792163
21.790683,48,83.7211
21.110738,48,84.363601
22.137483,48,85.306344
21.900348,48,85.940054
21.777767,48,86.87599
21.71015,48,87.511997
21.895908,48,88.429721
21.909275,48,89.040669
21.843647,48,89.976783
21.739201,48,90.601816
21.937364,48,91.519426
21.846649,48,92.15171
21.809612,48,93.110518
21.806455,48,93.78148
21.836072,48,94.716469
21.648081,48,95.355743
21.959358,48,96.291709
20.699912,48,96.915262
21.676891,48,97.529045
21.632811,48,98.483057
21.659223,48,99.092973
21.74593,48,100.057766
21.758075,48,100.713678
21.686186,48,101.654119
21.524105,48,102.293224
21.673555,48,103.232931
21.897181,48,103.909868
21.810288,48,104.862194
21.464,48,105.484906
21.563427,48,106.420225
21.517894,48,107.046116
21.536362,48,107.975588
21.466954,48,108.587913
21.925446,48,109.511146
21.905938,48,110.143245
21.28125,48,111.060956
21.092346,48,111.695262
21.826642,48,112.615262
21.797718,48,113.244962
21.566813,48,114.205113
21.749721,48,114.853832
21.227644,48,115.78704
21.668916,48,116.423192
21.486696,48,117.042699
21.708105,48,117.97429
21.024324,48,118.58287
21.840227,48,119.508515
21.898897,48,120.132699
21.804967,48,121.064411
21.72139,48,121.710367
21.80654,48,122.64693
21.822235,48,123.33877
21.575408,48,124.290793
21.970751,48,124.970006
21.751681,48,125.903835
20.747452,48,126.538189
21.593615,48,127.477812
21.654962,48,128.116528
21.322162,48,129.04434
21.685083,48,129.66814
21.874332,48,130.646092
21.783812,48,131.262234
22.006476,48,132.181386
21.654112,48,132.817474
21.913877,48,133.770076
22.093334,48,134.401653
21.720218,48,135.383839
21.839518,48,136.00353
21.702553,48,136.643967
22.064287,48,137.600194
21.915099,48,138.230945
21.967944,48,139.151938
21.837223,48,139.787966
21.907757,48,140.719797
21.73087,48,141.345725
21.479109,48,142.280768
22.061769,48,142.908204
21.896714,48,143.836015
22.008256,48,144.458483
21.49628,48,145.421765
21.909695,48,146.095022
21.9318,48,147.050734
21.820629,48,147.690724
21.483445,48,148.613153
21.956317,48,149.245059
21.862526,48,150.17821
22.041758,48,150.816106
21.707724,48,151.752727
22.0222,48,152.390847
21.829033,48,153.339313
22.195684,48,153.998521
21.646702,48,155.069673
21.875132,48,155.739113
21.968372,48,156.413692
21.901574,48,157.369008
21.950521,48,158.00946
21.865342,48,158.956636
22.007397,48,159.587166
21.846593,48,160.550318
22.144477,48,161.263735
21.911516,48,162.230286
21.120512,48,162.890851
20.886035,48,163.846614
22.068686,48,164.492875
21.905247,48,165.434488
21.860899,48,166.076013
20.858779,48,167.040797
22.0965,48,167.70628
21.592695,48,168.691224
21.973363,48,169.34218
21.977915,48,170.370303
22.043516,48,171.061274
21.960233,48,172.010921
21.940156,48,172.655752
21.971294,48,173.573299
22.174111,48,174.197804
20.793489,48,175.14397
22.081814,48,175.786593
21.834,48,176.385455
22.087291,48,177.365904
21.984698,48,177.979699
21.766323,48,178.915793
21.92358,48,179.556517
21.79218,48,180.516568
21.951677,48,181.145113
21.930723,48,182.122134
21.788271,48,182.755343
21.929047,48,183.691835
22.182354,48,184.321276
21.919121,48,185.288023
22.135796,48,185.958126
22.188747,48,186.928833
22.059399,48,187.56307
21.707284,48,188.529827
22.057812,48,189.161454
21.885233,48,190.100287
22.065283,48,190.712805
21.996663,48,191.69425
22.227142,48,192.327342
22.093409,48,193.250656
22.1518,48,193.880359
21.950153,48,194.806646
21.555348,48,195.456203
21.97556,48,196.098131
21.902445,48,197.079758
21.90408,48,197.70207
21.716672,48,198.662702
22.1467,48,199.289843
21.866627,48,200.289705
21.778822,48,200.933787
21.963188,48,201.881043
21.687921,48,202.494234
22.044753,48,203.436468
22.218829,48,204.064904
