#{"t_start": 1744202241.433595, "env_id": "ATM"}
r,l,t
20.253794,48,0.729625
21.280585,48,1.343365
21.235019,48,2.265882
19.774683,48,2.914452
21.397378,48,3.843547
21.586296,48,4.487232
21.530745,48,5.446217
21.373072,48,6.098028
21.500563,48,7.05896
21.64416,48,7.7097
22.007431,48,8.636579
21.886134,48,9.308909
20.973686,48,10.258462
19.187743,48,10.91968
21.728059,48,11.878399
21.201361,48,12.506713
21.644771,48,13.838093
21.145003,48,14.488466
21.912623,48,15.440945
21.868211,48,16.086206
21.894097,48,17.056773
21.900867,48,17.706031
21.405994,48,18.650749
21.386131,48,19.305072
21.856746,48,19.959986
21.857708,48,20.921195
21.895353,48,21.555676
22.016981,48,22.498961
21.921716,48,23.144072
21.900946,48,24.101652
21.093034,48,24.765572
20.578881,48,25.728494
21.903811,48,26.36827
21.069182,48,27.331645
21.004745,48,27.981813
21.945466,48,29.314061
21.141979,48,29.953313
22.109891,48,30.945867
21.942096,48,31.596139
21.363022,48,32.560629
21.798677,48,33.227401
21.473102,48,34.200563
20.201258,48,34.874286
21.039769,48,35.839427
21.571075,48,36.50802
21.640131,48,37.464392
21.388976,48,38.101148
21.642663,48,39.065669
21.48352,48,39.738781
21.454306,48,40.386396
21.957467,48,41.372217
20.043325,48,42.006508
21.923094,48,42.952224
21.940417,48,44.015637
21.671162,48,44.972873
21.993075,48,45.621715
21.558166,48,46.563479
21.213284,48,47.229595
20.983365,48,48.185015
21.560886,48,48.827029
21.220454,48,49.787779
20.814528,48,50.430945
21.053394,48,51.566304
21.896115,48,52.240607
21.168866,48,53.176171
21.969857,48,53.800896
21.600941,48,54.755799
18.933153,48,55.428186
21.561796,48,56.39164
21.572123,48,57.037333
21.740767,48,57.978294
21.926179,48,59.092133
21.54986,48,60.062221
21.901546,48,60.705255
19.94054,48,61.345525
21.877973,48,62.32529
21.275808,48,62.962178
21.216563,48,63.944618
21.574855,48,64.602739
22.114796,48,65.572742
21.393944,48,66.224755
21.564834,48,67.166639
21.138623,48,67.819999
21.696644,48,68.797313
21.29169,48,69.439746
20.762474,48,70.37908
21.776264,48,71.029274
21.371013,48,71.993644
21.511212,48,72.674828
21.818209,48,73.908423
21.583479,48,74.56461
20.705952,48,75.516949
21.461761,48,76.181121
21.508444,48,77.121251
20.329365,48,77.768175
20.373124,48,78.730774
21.667108,48,79.364192
21.69396,48,80.313049
19.813744,48,80.957623
21.341666,48,81.582245
21.2369,48,82.561543
21.866974,48,83.282536
20.090104,48,84.236171
21.665274,48,84.893426
21.978463,48,85.860732
21.154553,48,86.509575
21.535594,48,87.459329
22.115917,48,88.126882
22.02422,48,89.51377
20.823892,48,90.164691
21.736694,48,91.158527
21.97276,48,91.805322
21.743268,48,92.756583
21.539134,48,93.437064
21.871097,48,94.437348
21.652378,48,95.094478
21.984149,48,96.066395
21.12585,48,96.714054
21.917756,48,97.6803
21.841471,48,98.322408
21.665696,48,99.281741
21.69429,48,99.94611
21.162754,48,100.891151
21.590053,48,101.529899
21.343448,48,102.167319
21.062929,48,103.129978
21.798059,48,104.223433
20.772805,48,105.195706
21.496479,48,105.838455
20.995202,48,106.789178
21.355221,48,107.440207
21.699749,48,108.378409
20.843882,48,109.025395
21.575036,48,109.956011
20.747327,48,110.611504
21.46411,48,111.557079
21.944581,48,112.224309
20.99833,48,113.15093
20.99426,48,113.800293
21.611024,48,114.768699
20.349329,48,115.424006
21.192037,48,116.371022
21.694653,48,117.011569
21.236726,48,117.959571
21.053986,48,119.013425
21.327305,48,119.988001
20.916645,48,120.65185
21.011549,48,121.608168
20.905785,48,122.24888
20.829758,48,122.899362
21.940555,48,123.871894
21.744472,48,124.511672
20.54565,48,125.53605
21.635729,48,126.1828
21.960658,48,127.125671
21.428115,48,127.780978
21.651266,48,128.733805
21.185487,48,129.363821
20.799222,48,130.298819
21.427792,48,130.960292
21.485618,48,131.888301
21.022118,48,132.540496
21.153705,48,133.867295
21.313794,48,134.532279
21.593839,48,135.478214
21.385753,48,136.158641
21.910367,48,137.132243
21.488381,48,137.795632
21.31647,48,138.741919
21.486226,48,139.398697
21.077583,48,140.348149
20.826643,48,140.989312
21.0131,48,141.930658
21.303539,48,142.57812
21.848404,48,143.202748
21.47812,48,144.165438
21.977405,48,144.797163
21.880584,48,145.724784
21.21628,48,146.38739
21.763064,48,147.330287
21.570785,48,147.976958
21.610351,48,149.173183
21.488645,48,149.825499
21.509474,48,150.796927
21.677855,48,151.439624
21.810656,48,152.395429
20.108129,48,153.051366
20.918894,48,154.035981
20.682121,48,154.691462
20.881229,48,155.627113
20.867255,48,156.266632
21.734108,48,157.233507
21.40208,48,157.888627
