#{"t_start": 1744205260.775906, "env_id": "ATM"}
r,l,t
15.860569,48,0.651084
15.719423,48,1.260996
21.478886,48,2.125385
21.502679,48,2.748013
20.21041,48,3.661192
20.219385,48,4.290399
20.209964,48,5.227388
21.414099,48,5.82646
21.737877,48,6.709306
20.456382,48,7.346874
21.338051,48,8.27069
21.216562,48,8.89987
20.938219,48,9.826244
20.188376,48,10.461676
21.038317,48,11.37926
21.178646,48,11.995167
21.839881,48,12.942308
22.041525,48,13.576865
20.082667,48,14.504466
21.61706,48,15.124728
21.8805,48,16.110324
21.694409,48,16.75103
21.251749,48,17.671191
21.457142,48,18.333421
22.058514,48,18.942438
22.017466,48,19.887511
22.011862,48,20.514859
20.786962,48,21.452083
21.722285,48,22.063022
22.032106,48,23.003512
21.139406,48,23.628947
22.088383,48,24.558032
21.977831,48,25.19335
21.308792,48,26.1022
21.64047,48,26.726152
21.572234,48,27.653038
21.814897,48,28.422282
21.553066,48,29.525916
21.748435,48,30.170989
21.750461,48,31.110088
21.19444,48,31.793799
21.893444,48,33.595438
20.569724,48,34.263117
21.010079,48,35.245839
21.961863,48,35.920868
22.09005,48,36.887992
21.955014,48,37.524084
21.41997,48,38.4497
20.641137,48,39.112782
21.660856,48,39.772178
21.385553,48,40.697821
21.800564,48,41.320212
21.964069,48,42.249736
21.871442,48,42.866117
22.156937,48,43.785253
22.007318,48,44.471246
22.173156,48,45.394669
21.661066,48,46.080291
21.548992,48,47.493124
20.736736,48,48.212252
21.820753,48,49.195568
22.194133,48,49.92254
20.792919,48,50.873619
21.802175,48,51.485468
21.985105,48,52.424687
22.123889,48,53.083398
21.725543,48,54.064841
21.162754,48,54.746534
21.402611,48,55.682402
18.817726,48,56.311571
22.174366,48,57.229916
21.335187,48,57.846126
21.154009,48,58.812255
21.85007,48,59.453039
21.947327,48,60.078855
21.833986,48,60.995645
21.61733,48,61.630804
22.219371,48,62.860639
21.678589,48,63.475323
21.037032,48,64.411798
21.580969,48,65.08218
22.138262,48,66.030658
22.103656,48,66.680807
21.927228,48,67.639067
20.657576,48,68.251629
22.189531,48,69.169245
20.704335,48,69.797937
21.839741,48,70.770032
21.972802,48,71.436997
22.026229,48,72.378317
21.762401,48,72.985058
21.412353,48,73.926774
22.061454,48,74.559171
21.016714,48,75.559385
22.278045,48,76.207112
22.296788,48,77.466595
21.692284,48,78.142357
21.636389,48,79.130029
22.067338,48,79.772018
22.288338,48,80.420933
21.703396,48,81.456712
21.958391,48,82.125479
22.098765,48,83.043413
21.980051,48,83.659622
21.207354,48,84.624787
21.187021,48,85.259629
21.508857,48,86.192485
21.746349,48,86.802565
22.092016,48,87.720276
21.310339,48,88.341912
21.804067,48,89.267673
21.805807,48,89.871626
21.903566,48,90.807665
21.840628,48,91.421603
21.764922,48,92.706952
21.176977,48,93.324358
21.703731,48,94.242533
22.003812,48,94.872743
21.950039,48,95.814363
19.905546,48,96.439718
21.356482,48,97.364545
21.958419,48,97.981388
22.156773,48,98.904965
22.239586,48,99.514945
21.871921,48,100.119081
21.834709,48,101.061026
21.244147,48,101.674638
22.10276,48,102.613204
21.654922,48,103.253291
21.9143,48,104.170233
21.768836,48,104.785652
22.02159,48,105.707041
21.561533,48,106.390706
20.699516,48,107.743268
20.392798,48,108.37383
22.151223,48,109.302024
21.889522,48,109.925086
21.552704,48,110.847397
21.735379,48,111.559854
22.003176,48,112.537525
21.492347,48,113.182378
20.516527,48,114.112882
21.527293,48,114.743112
20.652553,48,115.688165
21.907668,48,116.343392
22.05104,48,117.357062
21.06652,48,117.996812
21.568339,48,118.919017
21.501142,48,119.594616
21.470017,48,120.275133
21.869928,48,121.235437
22.071602,48,121.919163
21.149771,48,123.292774
22.024829,48,123.984299
21.519936,48,124.964818
21.63687,48,125.613022
20.950922,48,126.598625
