time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,time/episodes,rollout/ep_rew_mean,train/actor_loss,time/time_elapsed,train/critic_loss,train/n_updates,train/ent_coef,eval/ep_b3_mean,eval/ep_pump_price_obj_std,eval/ep_b2_mean,eval/ep_b2_std,eval/ep_b1_std,eval/ep_pressure_obj_mean,eval/ep_b1_mean,eval/ep_pump_price_obj_mean,eval/ep_b3_std,eval/ep_pressure_obj_std
682,48.0,384,0.003,4,15.679039375,-0.3213072717189789,0,0.028374619781970978,35,0.009999999776482582,,,,,,,,,,
674,48.0,384,,8,15.679039375,,0,,,,,,,,,,,,,
655,48.0,768,0.003,12,15.9165720625,-0.57163405418396,1,0.025708340108394623,83,0.009999999776482582,,,,,,,,,,
651,48.0,768,,16,15.9165720625,,1,,,,,,,,,,,,,
565,48.0,1152,0.003,20,17.58244125,-0.6314744353294373,2,0.01320815458893776,131,0.009999999776482582,0.9649731422826602,0.11258763181510703,0.4089856048617234,0.143934656854978,0.3171168343869915,1.0,0.6126323709337766,0.5628601813082691,0.0218871641359546,0.0
560,48.0,1152,,24,17.58244125,,2,,,,,,,,,,,,,
577,48.0,1536,0.003,28,18.3784504375,-0.719200074672699,2,0.013895702548325062,179,0.009999999776482582,,,,,,,,,,
575,48.0,1536,,32,18.3784504375,,2,,,,,,,,,,,,,
537,48.0,1920,0.003,36,18.43747045,-0.7816687822341919,3,0.014235011301934719,227,0.009999999776482582,0.9009250855828685,0.21443853201950472,0.5362159699191043,0.3236041742863816,0.32433129615329,0.9725877192982456,0.6388784265903265,0.5755656375510321,0.08114315617270382,0.08123928373383782
535,48.0,1920,,40,18.43747045,,3,,,,,,,,,,,,,
547,48.0,2304,0.003,44,18.869505333333333,-0.8738558888435364,4,0.01588316634297371,275,0.009999999776482582,,,,,,,,,,
546,48.0,2304,,48,18.869505333333333,,4,,,,,,,,,,,,,
523,48.0,2688,0.003,52,19.220974732142857,-0.9690907001495361,5,0.02035173401236534,323,0.009999999776482582,0.9088573921352884,0.16725657325561766,0.5359058804039243,0.33652732144596326,0.3067893919287781,1.0,0.5473589905325934,0.5868174942164919,0.07027302578534977,0.0
521,48.0,2688,,56,19.220974732142857,,5,,,,,,,,,,,,,
535,48.0,3072,0.003,60,19.489434609375,-1.0684889554977417,5,0.013100199401378632,371,0.009999999776482582,,,,,,,,,,
534,48.0,3072,,64,19.489434609375,,5,,,,,,,,,,,,,
522,48.0,3456,0.003,68,19.745358625,-1.1648921966552734,6,0.010889346711337566,419,0.009999999776482582,0.9088263575781015,0.16045631402513258,0.5936344768917481,0.2769714966685377,0.2530615352753903,0.9945175438596491,0.6832605499049309,0.6003143475877699,0.04721897813830315,0.03798357034142275
520,48.0,3456,,72,19.745358625,,6,,,,,,,,,,,,,
528,48.0,3840,0.003,76,19.8902499625,-1.274545431137085,7,0.01597556471824646,467,0.009999999776482582,,,,,,,,,,
528,48.0,3840,,80,19.8902499625,,7,,,,,,,,,,,,,
516,48.0,4224,0.003,84,20.02397460227273,-1.3442059755325317,8,0.019790764898061752,515,0.009999999776482582,0.6822706312202328,0.1730799573652003,0.7388699630682973,0.15798551535932115,0.09798187976078737,1.0,0.8940593882138103,0.5807788115585631,0.25245167592452594,0.0
515,48.0,4224,,88,20.02397460227273,,8,,,,,,,,,,,,,
522,48.0,4608,0.003,92,20.096663729166668,-1.4166945219039917,8,0.014922777190804482,563,0.009999999776482582,,,,,,,,,,
522,48.0,4608,,96,20.096663729166668,,8,,,,,,,,,,,,,
512,48.0,4992,0.003,100,20.382151529999998,-1.4986954927444458,9,0.013556407764554024,611,0.009999999776482582,0.7332529951984436,0.1556333956525061,0.7242644664573834,0.2629304664150562,0.07587158044487248,1.0,0.885825584338218,0.5312075626597493,0.204898991030545,0.0
511,48.0,4992,,104,20.382151529999998,,9,,,,,,,,,,,,,
518,48.0,5376,0.003,108,20.773860810000002,-1.61087965965271,10,0.016370857134461403,659,0.009999999776482582,,,,,,,,,,
517,48.0,5376,,112,20.773860810000002,,10,,,,,,,,,,,,,
510,48.0,5760,0.003,116,21.00440775,-1.651716947555542,11,0.0261424258351326,707,0.009999999776482582,0.6685264916705492,0.2227471196228726,0.816187118813862,0.14702102249443444,0.07614850035599452,1.0,0.8955557360596273,0.5006076117868788,0.30997078581392373,0.0
509,48.0,5760,,120,21.00440775,,11,,,,,,,,,,,,,
515,48.0,6144,0.003,124,21.04162546,-1.7299360036849976,11,0.013808706775307655,755,0.009999999776482582,,,,,,,,,,
515,48.0,6144,,128,21.04162546,,11,,,,,,,,,,,,,
507,48.0,6528,0.003,132,21.19486194,-1.8500746488571167,12,0.016846880316734314,803,0.009999999776482582,0.761257191423824,0.160392637994204,0.7203283429743483,0.21755988977542506,0.17345288958287877,0.9945175438596491,0.7906532678940545,0.5752190780509888,0.2238126338638587,0.03798357034142275
507,48.0,6528,,136,21.19486194,,12,,,,,,,,,,,,,
512,48.0,6912,0.003,140,21.302123619999996,-1.9289772510528564,13,0.009494960308074951,851,0.009999999776482582,,,,,,,,,,
512,48.0,6912,,144,21.302123619999996,,13,,,,,,,,,,,,,
506,48.0,7296,0.003,148,21.303821030000005,-1.9919410943984985,14,0.010277524590492249,899,0.009999999776482582,0.7867571593200324,0.1744230531872823,0.6362257074934285,0.24144987681909533,0.14487563046779067,1.0,0.8292855999562893,0.596324188785041,0.2260177822576073,0.0
505,48.0,7296,,152,21.303821030000005,,14,,,,,,,,,,,,,
510,48.0,7680,0.003,156,21.322903649999997,-2.0589652061462402,15,0.01032822672277689,947,0.009999999776482582,,,,,,,,,,
510,48.0,7680,,160,21.322903649999997,,15,,,,,,,,,,,,,
503,48.0,8064,0.003,164,21.320838250000005,-2.1139793395996094,16,0.011397063732147217,995,0.009999999776482582,0.7554063660410852,0.1641024412052057,0.6862514747030072,0.23163048434899655,0.1402364178980636,1.0,0.8513741787254281,0.5899076208268464,0.1750107077013116,0.0
502,48.0,8064,,168,21.320838250000005,,16,,,,,,,,,,,,,
506,48.0,8448,0.003,172,21.31141728,-2.246347665786743,16,0.00731626246124506,1043,0.009999999776482582,,,,,,,,,,
506,48.0,8448,,176,21.31141728,,16,,,,,,,,,,,,,
502,48.0,8832,0.003,180,21.340150529999995,-2.3768200874328613,17,0.010853666812181473,1091,0.009999999776482582,0.8189929568907086,0.16839509706757322,0.6615121210705668,0.19854729494669707,0.12875087992834383,1.0,0.8569182366396171,0.5882218785204305,0.13465992207779437,0.0
501,48.0,8832,,184,21.340150529999995,,17,,,,,,,,,,,,,
505,48.0,9216,0.003,188,21.400826500000004,-2.346834421157837,18,0.012418550439178944,1139,0.009999999776482582,,,,,,,,,,
504,48.0,9216,,192,21.400826500000004,,18,,,,,,,,,,,,,
500,48.0,9600,0.003,196,21.43836701,-2.5269789695739746,19,0.011915937066078186,1187,0.009999999776482582,0.7866278148080272,0.172848639021898,0.7141678617306308,0.1688478079444642,0.11618725781034145,0.9890350877192983,0.8588714577369014,0.5945576434786541,0.1895538716012521,0.0531423517166997
500,48.0,9600,,200,21.43836701,,19,,,,,,,,,,,,,
504,48.0,9984,0.003,204,21.4754591,-2.5197529792785645,19,0.008256323635578156,1235,0.009999999776482582,,,,,,,,,,
504,48.0,9984,,208,21.4754591,,19,,,,,,,,,,,,,
507,48.0,10368,0.003,212,21.51513018,-2.657127857208252,20,0.012010278180241585,1283,0.009999999776482582,,,,,,,,,,
507,48.0,10368,,216,21.51513018,,20,,,,,,,,,,,,,
503,48.0,10752,0.003,220,21.52015869,-2.712651252746582,21,0.013909563422203064,1331,0.009999999776482582,0.8490258008502835,0.1746766808417139,0.7549465795550219,0.13532156175790452,0.15690292815468151,0.9890350877192983,0.8003496438528281,0.6035830176527344,0.12100601861207116,0.0531423517166997
502,48.0,10752,,224,21.52015869,,21,,,,,,,,,,,,,
506,48.0,11136,0.003,228,21.553793969999997,-2.8347859382629395,21,0.012574197724461555,1379,0.009999999776482582,,,,,,,,,,
506,48.0,11136,,232,21.553793969999997,,21,,,,,,,,,,,,,
