Time,Trial-0,Trial-1,Trial-2,Trial-3,Trial-4,Trial-5,Trial-6,Trial-7,Trial-8,Trial-9
1800,0.9314978987488091,0.9314405406065132,0.9314954147922724,0.9314346921209506,0.931576956928301,0.9317271044604367,0.9317311886087256,0.931742133580065,0.931672462284054,0.9316450199928143
3600,0.9475829584385094,0.9458177932349824,0.9452808971334076,0.9451335039081019,0.9455400427320004,0.9481465236431771,0.9466731939993045,0.946270935412078,0.9459068267356443,0.9458075027931355
5400,0.9831563836365613,0.9838739442511641,0.9831258501739049,0.9838014173015701,0.98709104522762,0.9826175493249225,0.9815014702898457,0.981585064569688,0.9824161188483989,0.9819597093481006
7200,0.9880293504161003,0.987820853222604,0.9865567294039259,0.9861799502305574,1.0,1.0,1.0,1.0,0.9877847085682262,1.0
9000,0.9566607401078262,0.95783416283045,0.955685685206644,0.9570614110593424,0.9878190228882452,0.9548144773629579,0.9493435756915621,0.9490814399996829,0.9568105258570286,0.9475262114433055
10800,0.9352520175680238,0.934378129895489,0.9339190525158146,0.9334458610849614,0.9392913676553406,0.933410600116961,0.9331067577819937,0.9318544096003283,0.9337419139556057,0.9314280091879078
12600,0.9590462346930259,0.9586871219037257,0.9571086372368721,0.9571084811166672,0.935291087590656,0.9569550175420007,0.9574113183235771,0.9561428347953892,0.9567196468384459,0.9555485346986472
14400,0.9870528556880411,0.987296427128538,0.9872366014576744,0.9874045893878476,0.9862254859124134,0.9778901970327438,0.9771826953680055,0.9871828780775038,0.9815221242708154,0.98743350903553
16200,1.0,1.0,1.0,1.0,0.9876385544999792,1.0,1.0,1.0,0.9879392319023433,1.0
18000,1.0,1.0,1.0,1.0,1.0,0.9577541149346244,0.9565854503865413,1.0,0.9557927927748893,1.0
19800,0.9583833875968285,0.957993176253799,0.9592171407989639,0.9610529691015763,0.9533599818085104,0.934519164497817,0.9346734170374785,0.9528519538379221,0.9396032659550981,0.9554196664295053
21600,0.9346470382971177,0.9341860246411549,0.9344877903022402,0.9357390237224325,0.9340982859862248,0.9593714699375404,0.9620285170726828,0.9371727768149692,0.967849826929161,0.9350370343281788
