#{"t_start": 1744290382.8722773, "env_id": "ATM"}
r,l,t
12.674025,48,0.817562
20.834251,48,1.447098
21.382184,48,2.368705
21.53311,48,2.983809
21.582857,48,3.912129
21.486452,48,4.550703
19.288485,48,5.4944
21.24977,48,6.124516
21.180329,48,7.040877
21.585732,48,7.652602
20.963038,48,8.58066
20.89451,48,9.311345
21.623742,48,10.248944
20.528866,48,11.039164
21.239747,48,12.075448
20.926693,48,12.792184
19.687053,48,13.713738
20.509511,48,14.367181
20.972575,48,15.314202
20.537826,48,15.969586
21.814802,48,16.946594
21.562451,48,17.587589
21.801961,48,18.532078
21.181745,48,19.170514
21.669365,48,19.8758
21.725965,48,20.85039
21.939067,48,21.485622
21.700473,48,22.422701
21.576896,48,23.079828
22.032093,48,24.029574
21.94985,48,24.679875
21.884246,48,25.603901
21.907334,48,26.388902
21.800187,48,27.345649
20.763356,48,27.942511
22.056792,48,28.842187
22.009091,48,29.481078
21.175855,48,30.481549
21.768022,48,31.146991
22.060485,48,32.046566
21.80271,48,32.672774
21.870606,48,33.660443
21.77111,48,34.282702
21.750768,48,35.244401
21.927946,48,35.884779
21.441458,48,36.84522
21.698101,48,37.475927
21.519375,48,38.402489
21.865081,48,39.012604
21.883944,48,39.632012
21.951905,48,40.604441
21.659602,48,41.316051
22.115256,48,42.240469
21.672543,48,42.878461
20.844194,48,43.799837
21.419915,48,44.432279
21.942992,48,45.362354
21.917787,48,46.005037
21.915532,48,46.910297
21.839898,48,47.545093
21.62301,48,48.475533
21.81508,48,49.10309
21.638339,48,50.05826
21.88871,48,50.682219
21.610555,48,51.635481
21.475809,48,52.259721
21.884518,48,53.197719
21.866631,48,53.814449
21.843556,48,54.796964
21.855194,48,55.452087
21.714691,48,56.490344
21.609573,48,57.377596
21.808494,48,58.499985
21.903202,48,59.153317
21.642484,48,59.81497
21.721632,48,60.778844
21.724026,48,61.474082
21.773414,48,62.451056
21.967179,48,63.106105
21.663166,48,64.098581
21.533869,48,64.77457
21.528013,48,65.69922
21.834292,48,66.372393
21.564481,48,67.40123
21.738598,48,68.088664
21.674078,48,69.043732
21.827644,48,69.676335
21.9103,48,70.61534
21.7188,48,71.307588
21.579022,48,72.276532
21.875334,48,72.970624
22.011269,48,73.898561
22.004595,48,74.553105
22.036163,48,75.507549
22.164774,48,76.152742
22.235258,48,77.096477
20.966815,48,77.729886
21.538122,48,78.678241
21.629264,48,79.318474
21.936241,48,79.944023
21.810075,48,80.892083
21.701871,48,81.510255
21.561644,48,82.451279
21.802327,48,83.154675
21.747681,48,84.134068
21.780349,48,84.762548
21.977137,48,85.706888
21.99972,48,86.39342
21.878832,48,87.338138
21.763798,48,87.979794
21.902937,48,88.936129
21.638173,48,89.577808
21.684636,48,90.51923
21.762875,48,91.152009
21.688906,48,92.082811
21.837778,48,92.727982
21.818338,48,93.723415
21.571291,48,94.357574
21.336686,48,95.313341
21.665195,48,95.956356
21.149212,48,96.90378
21.820439,48,97.549941
21.841453,48,98.504883
21.496665,48,99.140536
21.351524,48,99.761038
21.442572,48,100.745438
21.593006,48,101.419806
21.386324,48,102.360085
20.830249,48,102.99701
21.567766,48,103.998545
21.392227,48,104.653437
21.525708,48,105.615812
20.652529,48,106.264944
21.352593,48,107.218611
20.974802,48,107.876502
21.246979,48,108.813752
21.683155,48,109.445963
21.026263,48,110.40378
21.324718,48,111.04935
21.33351,48,112.00816
20.426517,48,112.648171
20.968345,48,113.606372
21.290985,48,114.274266
21.473102,48,115.256201
21.115964,48,115.913845
21.189314,48,116.996185
21.682323,48,117.659856
21.07948,48,118.624087
21.519752,48,119.271936
20.894542,48,119.922218
21.60996,48,120.891712
21.160402,48,121.521056
21.469768,48,122.474058
21.357584,48,123.10807
20.477186,48,124.07129
21.014602,48,124.734742
21.253332,48,125.691481
20.436521,48,126.330932
20.703042,48,127.287085
21.278071,48,127.948435
21.790707,48,128.894927
20.350016,48,129.53489
21.404008,48,130.466993
20.871486,48,131.157116
21.705694,48,132.143644
21.291043,48,132.788768
21.48737,48,133.765889
21.268567,48,134.396336
21.72392,48,135.378057
21.474235,48,136.052323
21.651012,48,137.015098
21.240691,48,137.672692
21.104313,48,138.629269
21.719917,48,139.295448
21.393606,48,139.930261
21.537089,48,140.872597
21.360201,48,141.508432
21.235828,48,142.467501
21.747904,48,143.120765
21.755371,48,144.077868
21.425636,48,144.715097
21.16875,48,145.666731
21.103092,48,146.406738
21.809778,48,147.352641
21.040218,48,148.002388
21.334651,48,148.966377
21.220506,48,149.603568
21.264278,48,150.557051
21.204926,48,151.196306
21.501831,48,152.14085
21.658902,48,152.766649
21.487104,48,153.725459
20.667615,48,154.37184
21.592371,48,155.318531
21.334658,48,155.959084
21.092578,48,156.945309
21.636059,48,157.607394
21.573965,48,158.567868
21.203485,48,159.215351
21.556391,48,159.848562
21.511423,48,160.816408
21.081898,48,161.499446
20.365634,48,162.438726
21.285158,48,163.071823
20.666275,48,164.03505
21.357847,48,164.669264
21.360292,48,165.629164
20.690604,48,166.27096
20.955161,48,167.27287
21.066019,48,167.954892
21.581438,48,168.917016
21.410557,48,169.562881
21.53112,48,170.507078
21.727157,48,171.147523
21.464635,48,172.097808
21.145006,48,172.736185
21.569263,48,173.685822
21.190361,48,174.336972
21.55445,48,175.297195
21.519237,48,175.941905
21.177445,48,176.94917
21.560128,48,177.600643
21.119966,48,178.580951
21.085175,48,179.237232
21.208722,48,179.872838
21.417894,48,180.830498
21.544553,48,181.452175
20.847501,48,182.41476
21.493271,48,183.057777
21.55697,48,184.015731
21.015117,48,184.671539
20.717255,48,185.615322
20.325611,48,186.261535
21.283115,48,187.230062
21.084659,48,187.868081
21.040407,48,188.825276
21.297089,48,189.471184
20.841201,48,190.424694
21.06316,48,191.073182
21.290144,48,192.127158
21.502023,48,192.781269
21.038256,48,193.735003
21.423067,48,194.3997
21.579493,48,195.346611
21.178948,48,195.999086
21.137929,48,196.998727
21.485904,48,197.72285
21.651862,48,198.685833
21.242777,48,199.398276
21.592743,48,200.057643
21.609157,48,201.044875
21.42175,48,201.657484
21.314727,48,202.631993
21.449482,48,203.25576
21.678309,48,204.239092
21.707228,48,204.883526
21.408133,48,205.823614
21.884758,48,206.467862
21.629077,48,207.398998
21.305785,48,208.065493
