#{"t_start": 1744202674.0377305, "env_id": "ATM"}
r,l,t
10.375762,48,0.866588
20.051357,48,1.961128
21.484638,48,2.869613
19.115063,48,3.502748
20.011502,48,4.448306
21.010383,48,5.088257
20.195281,48,6.054519
20.038527,48,6.68925
20.534862,48,7.642663
19.476238,48,8.286817
20.358809,48,9.232092
21.0613,48,9.907126
20.943383,48,10.862166
21.427695,48,11.536896
20.499321,48,12.508273
21.421698,48,13.163294
21.070757,48,14.106686
21.715535,48,14.747351
21.724357,48,15.713729
22.100914,48,16.831134
22.048429,48,17.834222
21.187205,48,18.48253
21.784041,48,19.461179
21.537938,48,20.130848
20.958748,48,20.821747
21.954343,48,21.788484
21.78675,48,22.442322
21.373759,48,23.42125
20.903331,48,24.0672
21.562291,48,25.002269
21.504374,48,25.660994
20.404201,48,26.627237
21.665855,48,27.271254
21.126503,48,28.220768
21.762097,48,28.892577
21.495621,48,29.815022
21.353537,48,30.455956
21.922761,48,31.693128
21.105532,48,32.346693
21.732866,48,33.284348
21.652573,48,33.94394
21.632466,48,34.925628
21.524982,48,35.590645
21.857177,48,36.544438
21.500314,48,37.19104
21.828566,48,38.174354
20.855633,48,38.836233
21.900827,48,39.787851
21.980874,48,40.442618
21.58521,48,41.086937
21.020573,48,42.122605
22.021461,48,42.775258
21.660398,48,43.729979
21.659289,48,44.382576
21.47238,48,45.354167
21.605265,48,46.394006
20.910708,48,47.37985
22.09647,48,48.023445
20.86072,48,48.984462
21.641071,48,49.656237
21.051915,48,50.630523
21.628656,48,51.282756
21.278606,48,52.308494
21.809513,48,52.970424
21.337515,48,53.924584
21.703011,48,54.582415
21.34015,48,55.554877
21.918611,48,56.218767
22.046152,48,57.138058
21.51926,48,57.832929
22.021771,48,58.799133
21.382055,48,59.455708
22.058174,48,60.395359
21.851387,48,61.454279
21.867329,48,62.103784
21.603892,48,63.117507
21.763868,48,63.75485
20.918766,48,64.684612
21.78788,48,65.342709
21.136116,48,66.288269
21.942023,48,66.932045
21.364515,48,67.879279
21.93565,48,68.527324
22.151488,48,69.526729
21.058953,48,70.185153
21.916131,48,71.139272
21.620547,48,71.811953
21.869261,48,72.769397
21.441118,48,73.431161
22.073609,48,74.39218
20.885915,48,75.044719
21.608749,48,76.382087
21.714573,48,77.029702
21.761819,48,77.982478
21.999429,48,78.631905
21.087821,48,79.586776
22.010424,48,80.252433
21.609001,48,81.224216
21.615577,48,81.866559
20.768543,48,82.503726
21.30396,48,83.475361
21.861692,48,84.162676
21.940681,48,85.165288
21.910597,48,85.822613
21.724145,48,86.78781
21.782094,48,87.432506
22.026168,48,88.384975
21.739837,48,89.034403
21.374993,48,89.998291
21.326009,48,90.646257
20.820395,48,91.94979
21.752894,48,92.604034
21.873612,48,93.56183
21.002513,48,94.222867
21.603143,48,95.222398
21.737508,48,95.867069
21.566046,48,96.829514
21.834795,48,97.469274
21.288167,48,98.420892
21.922634,48,99.077139
21.056363,48,100.026533
21.952761,48,100.687799
21.9941,48,101.651633
21.992971,48,102.311055
21.871088,48,102.960055
21.289539,48,103.931483
22.002923,48,104.571559
22.030773,48,105.565067
21.655247,48,106.635209
21.159183,48,107.614904
21.66679,48,108.256488
21.007385,48,109.21533
21.916007,48,109.896279
21.039266,48,110.858814
22.037085,48,111.506769
21.732707,48,112.461793
21.631414,48,113.125135
21.020773,48,114.080848
21.702919,48,114.754826
21.604332,48,115.738687
