Time,pressure_obj,tank_obj,pump_efficiency_obj,smoothness_obj,pump_price_obj,hydraulically_unstable,reward,centered
1800,1.0,0.0,0,0,1.0,False,1.0,True
3600,1.0,0.5967498929511933,0,0,0.7802795766939796,False,0.978027957669398,True
5400,1.0,0.6573838188165639,0,0,0.4320971781754299,False,0.943209717817543,True
7200,1.0,0.7679537417613915,0,0,0.5992878743718963,False,0.9599287874371897,True
9000,1.0,0.6017573434535437,0,0,0.8008683084316851,False,0.9800868308431685,True
10800,1.0,0.42130600955994263,0,0,0.8268081387445105,False,0.982680813874451,True
12600,1.0,0.0,0,0,1.0,False,1.0,True
14400,1.0,0.5151324399754035,0,0,0.6767314633737329,False,0.9676731463373733,True
16200,1.0,0.6038776634043183,0,0,0.349059538212631,False,0.9349059538212632,True
18000,1.0,0.7250551387093129,0,0,0.4078543938949869,False,0.9407854393894988,True
19800,1.0,0.35533493092116725,0,0,0.8330584658862216,False,0.9833058465886222,True
21600,1.0,0.40070457076890753,0,0,0.8253175742059246,False,0.9825317574205925,True
23400,1.0,0.6760183740617272,0,0,0.4031339459701828,False,0.9403133945970183,True
25200,1.0,0.784744921948629,0,0,0.2833405783526812,False,0.9283340578352681,True
27000,1.0,0.8247720562180124,0,0,0.2751725174239211,False,0.9275172517423922,True
28800,1.0,0.7093775718750709,0,0,0.3654183535444928,False,0.9365418353544493,True
30600,1.0,0.7184159276295401,0,0,0.6519306540296796,False,0.965193065402968,True
32400,0.7368421052631579,0.7519310655207286,0,0,0.40567129597424323,False,0.7037250243342664,True
34200,0.7368421052631579,1.0,0,0,0.057817086658033756,False,0.6689396034026455,True
36000,0.9473684210526315,0.6055164266150038,0,0,0.10484957844149978,False,0.8631165367915183,True
37800,1.0,0.6279990978101833,0,0,0.3304038593215809,False,0.9330403859321581,True
39600,1.0,0.6434302122990468,0,0,0.5604853672047303,False,0.9560485367204731,True
41400,1.0,0.4759491053224605,0,0,0.7372463735229207,False,0.9737246373522921,True
43200,1.0,0.7649748553141844,0,0,0.6327688810120331,False,0.9632768881012034,True
45000,1.0,0.5897808635302433,0,0,0.3143919574924162,False,0.9314391957492416,True
46800,1.0,0.6765455271593769,0,0,0.37495872806082453,False,0.9374958728060825,True
48600,1.0,0.32707794586506644,0,0,0.6407228903872857,False,0.9640722890387285,True
50400,1.0,0.7211468681260315,0,0,0.6914348819709677,False,0.9691434881970968,True
52200,1.0,0.6819943460429223,0,0,0.4723538696703984,False,0.9472353869670399,True
54000,1.0,0.6811758701872913,0,0,0.5331922742396609,False,0.9533192274239661,True
55800,1.0,0.6655004745121115,0,0,0.4814357544225417,False,0.9481435754422542,True
57600,1.0,0.5690439953034039,0,0,0.7722391262582344,False,0.9772239126258235,True
59400,1.0,0.0,0,0,1.0,False,1.0,True
61200,0.7368421052631579,1.0,0,0,0.6653761423154776,False,0.7296955089683899,True
63000,1.0,0.7044057360950109,0,0,0.16204231518953005,False,0.916204231518953,True
64800,1.0,0.6545638010642888,0,0,0.30957346821450027,False,0.93095734682145,True
66600,1.0,0.6807440545706479,0,0,0.6204268148814092,False,0.962042681488141,True
68400,1.0,0.29919835816220774,0,0,0.8697931142815551,False,0.9869793114281555,True
70200,1.0,0.4841183171838865,0,0,0.8146507334855124,False,0.9814650733485513,True
72000,1.0,0.5893335362364044,0,0,0.6668355250809883,False,0.9666835525080989,True
73800,1.0,0.5036316298539727,0,0,0.7479614405665673,False,0.9747961440566567,True
75600,1.0,0.5831232004620971,0,0,0.619132029376432,False,0.9619132029376433,True
77400,1.0,0.07537476557769494,0,0,0.6405931888945748,False,0.9640593188894575,True
79200,1.0,0.6298062360922099,0,0,0.5627858798347527,False,0.9562785879834753,True
81000,1.0,0.7318393592368373,0,0,0.644451531240728,False,0.9644451531240729,True
82800,1.0,0.0,0,0,1.0,False,1.0,True
84600,1.0,0.0,0,0,1.0,False,1.0,True
86400,1.0,1.0,0,0,0.8302047379719274,False,0.9830204737971928,True
