time/episodes,train/ent_coef,rollout/ep_len_mean,time/fps,train/learning_rate,time/total_timesteps,train/n_updates,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,eval/ep_pump_price_obj_mean,eval/ep_b1_std,eval/ep_pressure_obj_std,eval/ep_b3_mean,eval/ep_pressure_obj_mean,eval/ep_pump_price_obj_std,eval/ep_b3_std,eval/ep_b2_std,eval/ep_b2_mean,eval/ep_b1_mean
4,0.009999999776482582,48.0,652,0.003,384,35,0.03141355141997337,0,14.428941125,-0.5371469259262085,,,,,,,,,,
8,,48.0,644,,384,,,0,14.428941125,,,,,,,,,,,
12,0.009999999776482582,48.0,630,0.003,768,83,0.01854107156395912,1,17.336027375,-0.6986086964607239,,,,,,,,,,
16,,48.0,626,,768,,,1,17.336027375,,,,,,,,,,,
20,0.009999999776482582,48.0,543,0.003,1152,131,0.016721578314900398,2,18.481497583333333,-0.7812452912330627,0.5896855942500657,0.3701629694716647,0.11676078907234386,0.5217457684588326,0.9572368421052632,0.111176172120017,0.17592902693224782,0.06848490327989888,0.9368353715345975,0.40939510071965685
24,,48.0,539,,1152,,,2,18.481497583333333,,,,,,,,,,,
28,0.009999999776482582,48.0,555,0.003,1536,179,0.0176041591912508,2,18.98844590625,-0.8840451240539551,,,,,,,,,,
32,,48.0,553,,1536,,,2,18.98844590625,,,,,,,,,,,
36,0.009999999776482582,48.0,507,0.003,1920,227,0.017791112884879112,3,19.516483675,-0.9490153193473816,0.5752356288665464,0.27824684273692113,0.08614678599549087,0.3972615584688178,0.975877192982456,0.13056755294987013,0.18374881091026654,0.07164813626373197,0.9487646779833199,0.5722086839185156
40,,48.0,506,,1920,,,3,19.516483675,,,,,,,,,,,
44,0.009999999776482582,48.0,520,0.003,2304,275,0.0148447435349226,4,19.732726041666666,-1.066516399383545,,,,,,,,,,
48,,48.0,520,,2304,,,4,19.732726041666666,,,,,,,,,,,
