#{"t_start": 1744203096.7265213, "env_id": "ATM"}
r,l,t
14.414645,48,0.668638
11.664817,48,1.273834
18.832802,48,2.146704
18.628637,48,2.782741
21.163712,48,3.705739
21.450536,48,4.325822
20.598331,48,5.230575
21.346453,48,5.843808
20.386625,48,6.780127
20.26665,48,7.409758
21.586845,48,8.339368
21.317672,48,8.964153
21.627302,48,9.904623
21.332953,48,10.53405
21.443793,48,11.455256
20.836621,48,12.080376
21.103774,48,12.998649
21.689801,48,13.620238
21.508452,48,14.891051
21.543456,48,15.524472
21.688231,48,16.497359
21.66664,48,17.133831
21.840956,48,18.056049
21.447556,48,18.685949
20.921323,48,19.290829
21.864828,48,20.249644
21.980087,48,20.84375
21.946097,48,21.771081
21.645677,48,22.39615
21.9223,48,23.332473
22.013319,48,23.96373
21.970384,48,24.889967
21.860637,48,25.514758
21.080339,48,26.431079
20.999162,48,27.050634
20.912351,48,27.982016
21.881242,48,28.614328
21.78705,48,30.008988
20.716048,48,30.674618
21.513267,48,31.600816
21.131795,48,32.231973
21.105204,48,33.201041
21.932011,48,33.826818
21.79081,48,34.773311
21.433206,48,35.393831
21.43446,48,36.320638
20.679334,48,36.955737
21.813456,48,37.886551
21.065764,48,38.526157
21.110215,48,39.145306
19.828209,48,40.091873
21.257488,48,40.696737
21.190388,48,41.657389
21.429126,48,42.302364
21.024779,48,43.228405
21.831234,48,43.865196
21.272332,48,45.174201
21.525453,48,45.8028
21.929955,48,46.721382
21.581255,48,47.358148
21.353966,48,48.303872
21.448091,48,48.936708
21.60051,48,49.901053
21.776994,48,50.535436
22.041586,48,51.475407
21.022709,48,52.124508
21.104875,48,53.051205
21.876515,48,53.693069
21.493612,48,54.612064
21.357234,48,55.235754
22.036963,48,56.159552
21.855119,48,56.789233
21.377637,48,57.72495
21.593701,48,58.359776
21.786307,48,58.994369
22.122345,48,60.312555
21.433296,48,60.938687
21.893722,48,61.867526
21.348972,48,62.542158
21.961131,48,63.463401
21.738866,48,64.09327
21.821692,48,65.005925
22.161877,48,65.634164
21.776194,48,66.565703
22.05108,48,67.187451
21.302101,48,68.109246
21.330325,48,68.747488
21.888642,48,69.672085
20.944809,48,70.303384
21.646884,48,71.218338
22.09421,48,71.839337
22.030343,48,72.773996
21.16779,48,73.425312
21.604659,48,74.671317
21.168102,48,75.372443
22.100641,48,76.283153
22.030834,48,76.904505
21.634095,48,77.83506
21.71534,48,78.477187
21.389049,48,79.102367
21.946188,48,80.024014
22.025539,48,80.642729
21.91898,48,81.566243
21.795377,48,82.194698
21.1474,48,83.19975
20.958443,48,83.901577
21.941926,48,84.825904
20.89714,48,85.451849
20.251935,48,86.374063
20.476932,48,87.00557
21.594162,48,87.938497
21.482474,48,88.567621
21.466371,48,89.884059
21.981986,48,90.519633
21.085764,48,91.437399
19.912878,48,92.074288
20.622392,48,93.013136
20.306737,48,93.650946
20.814518,48,94.626521
21.536991,48,95.266731
21.472992,48,96.206855
21.908249,48,96.834949
20.311403,48,97.760303
21.516485,48,98.406992
21.463592,48,99.019896
21.437158,48,100.003655
21.77647,48,100.66169
22.031342,48,101.594578
21.352256,48,102.238937
22.051346,48,103.175654
20.011042,48,103.821145
20.574792,48,105.179299
21.965958,48,105.817727
21.993013,48,106.76603
21.302869,48,107.4243
21.383161,48,108.350225
21.636604,48,108.983231
20.513286,48,109.91851
21.730475,48,110.540241
22.01543,48,111.485901
