#{"t_start": 1744203096.7359595, "env_id": "ATM"}
r,l,t
12.452147,48,0.657755
12.000782,48,1.264585
21.049361,48,2.136385
19.290052,48,2.773788
21.873643,48,3.693077
21.443152,48,4.31564
21.320998,48,5.221059
21.805145,48,5.835302
21.83549,48,6.770929
20.537423,48,7.400341
21.007654,48,8.330753
21.914881,48,8.952282
20.833391,48,9.895881
21.647644,48,10.523263
21.720759,48,11.445487
20.152895,48,12.07108
21.280371,48,12.989251
20.637013,48,13.607804
21.866424,48,14.876737
21.519753,48,15.514857
21.741937,48,16.487931
22.039774,48,17.12522
21.835915,48,18.046642
21.911453,48,18.67627
21.330554,48,19.284098
20.856287,48,20.24026
22.059214,48,20.833035
22.004941,48,21.760082
21.962774,48,22.388853
21.579523,48,23.322321
21.49867,48,23.95371
21.699824,48,24.88151
21.98134,48,25.506766
22.060586,48,26.423122
21.894842,48,27.044255
21.656576,48,27.971708
20.919814,48,28.604577
21.270874,48,29.999099
20.56181,48,30.669297
21.959989,48,31.593392
21.707575,48,32.221313
21.059842,48,33.190184
20.924789,48,33.821453
21.77826,48,34.763214
22.118954,48,35.385138
19.690664,48,36.311448
21.521542,48,36.945999
21.66603,48,37.882719
18.647125,48,38.516573
21.995569,48,39.134742
21.80635,48,40.081606
22.038376,48,40.687464
20.983462,48,41.647841
21.698509,48,42.293811
22.176535,48,43.219769
21.956621,48,43.855549
22.154247,48,45.165894
22.037358,48,45.794738
21.924631,48,46.711281
21.953956,48,47.350631
21.988753,48,48.294344
21.95161,48,48.925809
22.205443,48,49.8934
22.114713,48,50.525828
22.172516,48,51.46603
21.85439,48,52.115038
21.936206,48,53.041011
20.824069,48,53.683573
22.169061,48,54.602423
21.961206,48,55.226332
21.980192,48,56.151014
22.017057,48,56.778712
21.01927,48,57.715766
21.872745,48,58.352828
21.691844,48,58.984833
21.892907,48,60.301807
21.348418,48,60.928414
21.467556,48,61.857142
22.04817,48,62.532848
22.106054,48,63.452244
21.733344,48,64.083762
21.536653,48,64.997045
21.015922,48,65.624327
22.038623,48,66.556434
22.014426,48,67.178951
21.834101,48,68.100729
21.960327,48,68.737782
21.98349,48,69.662591
21.7389,48,70.297519
22.017487,48,71.210018
