train/learning_rate,train/actor_loss,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,time/episodes,train/ent_coef,rollout/ep_len_mean,train/n_updates,time/time_elapsed,eval/ep_b3_mean,eval/ep_pump_price_obj_std,eval/ep_pressure_obj_mean,eval/ep_timesteps_below_zero,eval/ep_b1_mean,eval/ep_pressure_obj_std,eval/ep_nodes_below_zero,eval/ep_b3_std,eval/ep_pump_price_obj_mean,eval/ep_b1_std,eval/ep_nodes_below_threshold,eval/ep_nodes_above_threshold,eval/ep_b2_std,eval/ep_b2_mean
0.003,-0.4859214127063751,575,16.785763875,384,0.03133133798837662,4,0.009999999776482582,48.0,35,0,,,,,,,,,,,,,,
,,569,16.785763875,384,,8,,48.0,,0,,,,,,,,,,,,,,
0.003,-0.6770708560943604,596,19.0126723125,768,0.007364331278949976,12,0.009999999776482582,48.0,83,1,,,,,,,,,,,,,,
,,593,19.0126723125,768,,16,,48.0,,1,,,,,,,,,,,,,,
0.003,-0.8119789361953735,527,19.806996625,1152,0.005298075266182423,20,0.009999999776482582,48.0,131,2,0.8251018223366826,0.2675246541136221,0.9989035087719298,0,0.8648590715219251,0.007596714068284557,0.0,0.2185380815320267,0.5247293857866736,0.21234338692546312,0.0,0.0010741138560687433,0.31671826250134305,0.3470657532910102
,,522,19.806996625,1152,,24,,48.0,,2,,,,,,,,,,,,,,
0.003,-0.9199209213256836,542,20.216343593749997,1536,0.007407644763588905,28,0.009999999776482582,48.0,179,2,,,,,,,,,,,,,,
,,540,20.216343593749997,1536,,32,,48.0,,2,,,,,,,,,,,,,,
0.003,-1.0259697437286377,509,20.45794635,1920,0.008473613299429417,36,0.009999999776482582,48.0,227,3,0.8309023699851319,0.23481669096615174,1.0,0,0.9392880446712052,0.0,0.0,0.1320038705846326,0.5305800220188475,0.02925108210805317,0.0,0.0,0.22068555224323536,0.46029059905073283
,,507,20.45794635,1920,,40,,48.0,,3,,,,,,,,,,,,,,
0.003,-1.108699917793274,522,20.574656104166667,2304,0.0052959672175347805,44,0.009999999776482582,48.0,275,4,,,,,,,,,,,,,,
,,521,20.574656104166667,2304,,48,,48.0,,4,,,,,,,,,,,,,,
0.003,-1.1583452224731445,504,20.676182160714283,2688,0.010334080085158348,52,0.009999999776482582,48.0,323,5,0.7617126591004538,0.20950903797350115,1.0,0,0.9586557687200533,0.0,0.0,0.2154721871538432,0.5191675369342216,0.02137619982030285,0.0,0.0,0.11995924444508416,0.33967289310223403
,,502,20.676182160714283,2688,,56,,48.0,,5,,,,,,,,,,,,,,
0.003,-1.2184569835662842,513,20.73752696875,3072,0.007797267287969589,60,0.009999999776482582,48.0,371,5,,,,,,,,,,,,,,
,,513,20.73752696875,3072,,64,,48.0,,5,,,,,,,,,,,,,,
0.003,-1.3462001085281372,498,20.731335472222224,3456,0.01529613509774208,68,0.009999999776482582,48.0,419,6,0.7561879708711848,0.20006805094019003,1.0,0,0.8506687139633438,0.0,0.0,0.23485685419007785,0.6235357968059333,0.19678417554809788,0.0,0.0,0.16432807784591213,0.6435212114017027
,,497,20.731335472222224,3456,,72,,48.0,,6,,,,,,,,,,,,,,
0.003,-1.3754063844680786,507,20.785408925,3840,0.012792102061212063,76,0.009999999776482582,48.0,467,7,,,,,,,,,,,,,,
,,507,20.785408925,3840,,80,,48.0,,7,,,,,,,,,,,,,,
0.003,-1.4893991947174072,497,20.849865249999997,4224,0.013130905106663704,84,0.009999999776482582,48.0,515,8,0.844186698017645,0.22143881503738197,1.0,0,0.8472694975644429,0.0,0.0,0.1341533798446248,0.5796704199838941,0.16050445319211767,0.0,0.0,0.1695446315973596,0.6799819516273585
,,496,20.849865249999997,4224,,88,,48.0,,8,,,,,,,,,,,,,,
0.003,-1.5841870307922363,502,20.911399354166665,4608,0.012945244088768959,92,0.009999999776482582,48.0,563,9,,,,,,,,,,,,,,
