#{"t_start": 1744205984.7906063, "env_id": "ATM"}
r,l,t
9.932801,48,0.789112
20.953224,48,1.419168
21.143955,48,2.330489
21.554909,48,2.953982
20.617221,48,3.892991
21.738043,48,4.547674
21.629201,48,5.475827
21.573356,48,6.097935
21.673153,48,7.02773
21.624847,48,7.644875
21.486306,48,8.577925
20.53393,48,9.213603
21.703145,48,10.20033
21.804771,48,10.8678
21.938037,48,11.803206
20.64815,48,12.436027
21.066174,48,13.388081
21.762479,48,14.054689
21.321276,48,15.026798
20.508064,48,15.720091
20.839371,48,16.732762
20.38255,48,17.413962
20.79596,48,18.411108
21.076406,48,19.071649
20.992885,48,19.698549
20.848277,48,20.650287
21.646277,48,21.297223
21.659416,48,22.244673
21.862714,48,22.857969
20.747162,48,23.800969
20.681935,48,24.423673
21.647793,48,25.410909
21.68657,48,26.114072
22.016313,48,27.08059
21.576273,48,27.797774
21.349216,48,28.811202
21.257331,48,29.446376
21.034901,48,30.937903
21.650022,48,31.614146
21.789149,48,32.590131
21.360725,48,33.232803
20.529036,48,34.257602
21.799586,48,34.943631
21.478653,48,35.937572
21.716444,48,36.573296
21.786362,48,37.510812
21.627331,48,38.174442
20.914029,48,39.142795
21.801835,48,39.778038
21.844249,48,40.414465
21.445009,48,41.385656
21.694007,48,42.021317
21.819318,48,43.007779
21.746021,48,43.703009
21.873581,48,44.665764
21.617154,48,45.58324
21.523199,48,46.554727
21.630852,48,47.157839
21.554721,48,48.05286
22.025314,48,48.66851
21.902268,48,49.582438
21.789109,48,50.20525
21.691642,48,51.17477
21.450625,48,51.79805
21.725825,48,52.75931
20.863306,48,53.38795
21.40593,48,54.358768
21.653581,48,54.9781
21.693693,48,55.946248
21.721665,48,56.603142
21.370551,48,57.543922
21.586548,48,58.166644
21.530107,48,59.142128
21.468253,48,59.773816
21.5063,48,60.815617
21.30412,48,61.77145
21.559163,48,62.404184
21.888889,48,63.37817
21.406032,48,64.007167
21.529047,48,64.940166
21.833437,48,65.552487
21.528541,48,66.528859
21.288919,48,67.155775
20.950799,48,68.133445
21.350855,48,68.773779
21.729996,48,69.710899
21.597883,48,70.365918
21.598624,48,71.294589
20.832873,48,71.955373
21.125063,48,72.893213
21.201284,48,73.548201
21.718888,48,74.524853
21.695843,48,75.142796
21.686402,48,76.521138
21.710045,48,77.156771
