#{"t_start": 1744205777.0635266, "env_id": "ATM"}
r,l,t
18.140433,48,1.265184
20.919828,48,1.882601
20.232008,48,2.823445
21.165947,48,3.486444
21.691362,48,4.457577
21.702693,48,5.086279
21.52184,48,6.026467
19.649326,48,6.674388
21.831227,48,7.668778
21.558449,48,8.305528
21.496527,48,9.231033
21.68105,48,9.858328
21.779792,48,10.811772
20.839502,48,11.468464
21.185093,48,12.41213
21.424111,48,13.051883
21.695164,48,13.984589
21.924586,48,14.608663
20.313167,48,15.564401
22.071049,48,16.192371
21.095901,48,17.217323
21.461259,48,17.932187
22.006312,48,18.863799
21.354939,48,19.505402
21.855617,48,20.128866
21.531816,48,21.061026
21.790589,48,21.696772
21.534922,48,22.658082
21.955547,48,23.296983
21.882246,48,24.234663
21.729866,48,24.862231
21.333214,48,25.80678
21.473632,48,26.433134
20.827581,48,27.42221
21.338608,48,28.067331
21.491462,48,29.044009
21.779291,48,29.661754
21.800588,48,30.591036
21.668493,48,31.216552
21.399909,48,32.160069
21.717935,48,32.779012
21.505706,48,33.75472
21.7216,48,34.394422
21.459478,48,35.325512
21.834832,48,35.945019
21.421369,48,36.878615
21.391669,48,37.523125
21.68399,48,38.442383
21.597104,48,39.109821
21.408535,48,39.756072
21.591222,48,40.682308
21.230812,48,41.295091
21.712577,48,42.232117
20.755178,48,42.850843
21.157609,48,43.780228
21.58004,48,44.381884
21.268593,48,45.306651
21.616471,48,45.933405
21.755419,48,46.864534
21.864115,48,47.506073
21.636743,48,48.424707
21.70097,48,49.041636
21.692495,48,50.013603
21.856066,48,50.640195
21.575346,48,51.570205
21.44399,48,52.177333
21.673251,48,53.147278
21.865611,48,53.778744
21.715394,48,54.699362
21.696504,48,55.329951
21.117517,48,56.267502
21.673776,48,56.877713
21.777356,48,57.815871
21.542999,48,58.444768
20.650638,48,59.066873
21.403893,48,60.037296
21.166315,48,60.674915
21.83706,48,61.600872
21.615592,48,62.223226
21.801514,48,63.189972
21.707859,48,63.810382
21.836944,48,64.736439
20.735162,48,65.395381
20.291688,48,66.348164
21.674422,48,66.985564
21.701053,48,67.912628
21.673717,48,68.575724
20.583153,48,69.502167
21.068909,48,70.149577
21.29097,48,71.099194
20.795195,48,71.725764
21.814646,48,72.665876
21.498573,48,73.312451
20.485914,48,74.252354
21.534522,48,74.89076
21.378085,48,75.827698
21.797814,48,76.4657
21.430254,48,77.389254
19.828526,48,78.02638
21.581297,48,78.662368
21.161821,48,79.598642
21.637893,48,80.204991
21.692266,48,81.173783
21.585035,48,81.857644
19.493587,48,82.820778
21.105842,48,83.478695
21.76351,48,84.407934
21.503087,48,85.053509
21.655182,48,85.967794
20.661426,48,86.60958
21.036033,48,87.531846
21.776087,48,88.153193
21.663429,48,89.107031
21.670667,48,89.72496
21.273072,48,90.668306
21.599271,48,91.277115
21.555857,48,92.246369
20.776052,48,92.870859
21.264524,48,93.844419
21.57534,48,94.460691
21.600904,48,95.397826
20.795664,48,96.027048
21.555632,48,96.972436
21.789862,48,97.589772
21.356216,48,98.212061
21.250571,48,99.19292
21.460871,48,99.839671
19.777375,48,100.779709
21.543986,48,101.392249
21.411952,48,102.351897
21.522944,48,103.006662
21.485371,48,103.940912
21.650343,48,104.597867
21.484644,48,105.497249
20.54672,48,106.124842
21.546539,48,107.044051
20.517455,48,107.667229
21.617183,48,108.600586
20.780471,48,109.244406
21.353447,48,110.166532
20.609035,48,110.788758
20.126903,48,111.732261
21.708054,48,112.357265
21.45341,48,113.352023
21.491815,48,113.996446
21.218674,48,114.988661
21.651515,48,115.612066
21.471295,48,116.558578
21.163228,48,117.18466
20.849728,48,117.827429
21.569934,48,118.77719
21.573068,48,119.392867
21.60573,48,120.349509
21.663429,48,120.980203
21.639432,48,121.920114
21.189139,48,122.534375
21.295361,48,123.515413
21.486286,48,124.151221
21.172576,48,125.121782
21.443369,48,125.742898
21.476442,48,126.679217
21.505055,48,127.296888
21.371602,48,128.242908
21.118882,48,128.885293
21.302263,48,129.836596
20.670738,48,130.475764
21.362295,48,131.41395
20.918743,48,132.06347
20.334878,48,132.998411
21.430476,48,133.652935
21.475179,48,134.651765
21.428436,48,135.293042
21.533426,48,136.206898
20.608246,48,136.826358
21.766203,48,137.458352
21.508329,48,138.436995
21.394593,48,139.044095
20.928308,48,139.984798
21.40047,48,140.637621
21.612719,48,141.570765
20.653166,48,142.190812
21.210993,48,143.131764
21.635142,48,143.778453
21.64667,48,144.765101
21.688081,48,145.408434
21.614918,48,146.359949
21.110527,48,146.987095
21.723104,48,147.940046
21.639836,48,148.56495
21.846467,48,149.500787
21.682868,48,150.148787
21.50724,48,151.107997
21.75409,48,151.732055
21.481999,48,152.661304
21.970279,48,153.281652
20.915451,48,154.205658
21.523667,48,154.849519
21.64651,48,155.825819
21.497995,48,156.50025
21.548224,48,157.115318
21.098611,48,158.07499
21.598639,48,158.701323
21.618862,48,159.631923
21.665413,48,160.263073
21.612493,48,161.224823
21.453129,48,161.883988
20.852866,48,162.860273
21.736557,48,163.499752
21.627496,48,164.462943
21.258511,48,165.082942
21.739463,48,166.082439
21.191938,48,166.717539
21.117331,48,167.679321
20.682547,48,168.306195
21.757802,48,169.261756
21.892136,48,169.898395
20.692436,48,170.837112
21.190102,48,171.491514
21.444578,48,172.427075
21.572268,48,173.067603
21.262618,48,174.002981
21.044844,48,174.621042
21.267837,48,175.64033
21.545049,48,176.341204
20.886821,48,176.952921
21.400756,48,177.916661
21.46091,48,178.536129
20.499617,48,179.506119
21.098373,48,180.137746
21.463265,48,181.097491
21.655934,48,181.748287
21.701981,48,182.702995
21.448962,48,183.323524
21.584719,48,184.266165
21.701216,48,184.901934
19.087405,48,185.842463
21.123739,48,186.518509
20.836147,48,187.48777
21.23398,48,188.125338
21.581777,48,189.073068
21.537877,48,189.693748
21.509825,48,190.638838
20.487574,48,191.261361
21.762034,48,192.221742
21.73786,48,192.864712
21.104122,48,193.813693
20.924644,48,194.43656
20.97595,48,195.363726
21.305096,48,195.999476
21.342791,48,196.632783
20.184305,48,197.651493
21.600071,48,198.267463
21.472987,48,199.203629
21.3736,48,199.887625
21.709948,48,200.826768
21.281816,48,201.471196
21.028874,48,202.41865
21.39857,48,203.03379
21.392108,48,203.972091
21.626324,48,204.591607
