time/episodes,train/ent_coef,rollout/ep_len_mean,time/fps,train/learning_rate,time/total_timesteps,train/n_updates,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,eval/ep_pump_price_obj_mean,eval/ep_b1_std,eval/ep_pressure_obj_std,eval/ep_b3_mean,eval/ep_pressure_obj_mean,eval/ep_pump_price_obj_std,eval/ep_b3_std,eval/ep_b2_std,eval/ep_b2_mean,eval/ep_b1_mean
4,0.009999999776482582,48.0,639,0.003,384,35,0.04195691645145416,0,16.413188375,-0.4668760299682617,,,,,,,,,,
8,,48.0,633,,384,,,0,16.413188375,,,,,,,,,,,
12,0.009999999776482582,48.0,630,0.003,768,83,0.011876126751303673,1,18.377433625000002,-0.6304354667663574,,,,,,,,,,
16,,48.0,628,,768,,,1,18.377433625000002,,,,,,,,,,,
20,0.009999999776482582,48.0,532,0.003,1152,131,0.011971144936978817,2,18.843979708333332,-0.7391552329063416,0.5320020954389799,0.16910236179289023,0.2136497259045028,0.7354725189007926,0.8826754385964913,0.11882715366731829,0.1683721440772017,0.07049203203473912,0.9446417711816679,0.2924945301810777
24,,48.0,529,,1152,,,2,18.843979708333332,,,,,,,,,,,
28,0.009999999776482582,48.0,544,0.003,1536,179,0.0136664267629385,2,19.3802604375,-0.8199723958969116,,,,,,,,,,
32,,48.0,543,,1536,,,2,19.3802604375,,,,,,,,,,,
36,0.009999999776482582,48.0,505,0.003,1920,227,0.014138266444206238,3,19.637721325,-0.9321612119674683,0.5753210977738734,0.05846629830963278,0.07356112740329313,0.7864258949506906,0.9769736842105262,0.19846321826868543,0.115666118761374,0.08624661701937661,0.9188912034632399,0.8401970804609286
40,,48.0,504,,1920,,,3,19.637721325,,,,,,,,,,,
44,0.009999999776482582,48.0,521,0.003,2304,275,0.013649551197886467,4,19.894501395833334,-1.0060664415359497,,,,,,,,,,
48,,48.0,520,,2304,,,4,19.894501395833334,,,,,,,,,,,
52,0.009999999776482582,48.0,501,0.003,2688,323,0.011886091902852058,5,20.076450875,-1.1134588718414307,0.5618271844436663,0.20080261641211464,0.03798357034142275,0.8270412990894503,0.9945175438596491,0.11789726193075017,0.0420835587774536,0.07076966837954884,0.9455805832623626,0.5967120949974553
56,,48.0,500,,2688,,,5,20.076450875,,,,,,,,,,,
60,0.009999999776482582,48.0,511,0.003,3072,371,0.017654821276664734,6,20.224657265624998,-1.1806392669677734,,,,,,,,,,
64,,48.0,510,,3072,,,6,20.224657265624998,,,,,,,,,,,
68,0.009999999776482582,48.0,493,0.003,3456,419,0.027689943090081215,7,20.344865180555555,-1.2517321109771729,0.6081719240886065,0.1627759498625729,0.007596714068284557,0.8739261679156353,0.9989035087719298,0.16139873940356378,0.07363875016151301,0.1301580745453704,0.8459165970271139,0.6656274815866613
72,,48.0,492,,3456,,,7,20.344865180555555,,,,,,,,,,,
76,0.009999999776482582,48.0,502,0.003,3840,467,0.019536279141902924,7,20.446555437500002,-1.370936632156372,,,,,,,,,,
80,,48.0,502,,3840,,,7,20.446555437500002,,,,,,,,,,,
84,0.009999999776482582,48.0,493,0.003,4224,515,0.01778254099190235,8,20.537096943181822,-1.4565746784210205,0.5621897727554811,0.16152778301147824,0.0,0.8784503392680217,1.0,0.2134264946471917,0.09713339705128775,0.13086148971063827,0.8850716210739145,0.6138609619428388
88,,48.0,492,,4224,,,8,20.537096943181822,,,,,,,,,,,
92,0.009999999776482582,48.0,501,0.003,4608,563,0.02199753373861313,9,20.620360375,-1.616483211517334,,,,,,,,,,
96,,48.0,500,,4608,,,9,20.620360375,,,,,,,,,,,
100,0.009999999776482582,48.0,491,0.003,4992,611,0.014165518805384636,10,20.85808048,-1.5961400270462036,0.581370144151216,0.17978313511308586,0.0,0.8280587503757663,1.0,0.22380629653448406,0.13010637938250666,0.12467611618646368,0.8990616589774082,0.6607775148951964
104,,48.0,491,,4992,,,10,20.85808048,,,,,,,,,,,
108,0.009999999776482582,48.0,497,0.003,5376,659,0.02639930509030819,10,21.088543579999996,-1.7062721252441406,,,,,,,,,,
112,,48.0,497,,5376,,,10,21.088543579999996,,,,,,,,,,,
116,0.009999999776482582,48.0,490,0.003,5760,707,0.014936456456780434,11,21.185580880000003,-1.784945011138916,0.5765639754325257,0.09544404263984813,0.0,0.8850645864149396,1.0,0.21550001556914433,0.06662852097240567,0.10183647414212144,0.8922202378500889,0.7192679657883261
120,,48.0,489,,5760,,,11,21.185580880000003,,,,,,,,,,,
124,0.009999999776482582,48.0,495,0.003,6144,755,0.01152491569519043,12,21.274137329999995,-1.840358018875122,,,,,,,,,,
128,,48.0,495,,6144,,,12,21.274137329999995,,,,,,,,,,,
132,0.009999999776482582,48.0,490,0.003,6528,803,0.01095525175333023,13,21.32912056,-1.9139790534973145,0.590196973932915,0.11848173432574445,0.0,0.8278856183454348,1.0,0.23706147333141808,0.15737240189679694,0.15981785465677895,0.8798187841555701,0.6570846714190761
136,,48.0,489,,6528,,,13,21.32912056,,,,,,,,,,,
140,0.009999999776482582,48.0,495,0.003,6912,851,0.010387836024165154,13,21.359826770000005,-2.0529885292053223,,,,,,,,,,
144,,48.0,495,,6912,,,13,21.359826770000005,,,,,,,,,,,
148,0.009999999776482582,48.0,489,0.003,7296,899,0.010085057467222214,14,21.373687810000007,-2.067950487136841,0.6181406750425901,0.09275544198161755,0.0,0.8391147222707117,1.0,0.22462115053898188,0.11561855511199985,0.12241304803943509,0.8913451838847734,0.7014878455128676
152,,48.0,489,,7296,,,14,21.373687810000007,,,,,,,,,,,
156,0.009999999776482582,48.0,494,0.003,7680,947,0.00505995936691761,15,21.392082920000004,-2.1807618141174316,,,,,,,,,,
160,,48.0,494,,7680,,,15,21.392082920000004,,,,,,,,,,,
164,0.009999999776482582,48.0,487,0.003,8064,995,0.003986145369708538,16,21.38493974,-2.3353188037872314,0.6010660921705006,0.09410291629862745,0.0,0.8834942096003114,1.0,0.15247112982825045,0.06683049436963616,0.1362235760861852,0.8563315398220305,0.7035407158448459
168,,48.0,486,,8064,,,16,21.38493974,,,,,,,,,,,
172,0.009999999776482582,48.0,489,0.003,8448,1043,0.009420637041330338,17,21.395795130000007,-2.2757716178894043,,,,,,,,,,
