#{"t_start": 1744204156.621672, "env_id": "ATM"}
r,l,t
13.652348,48,0.67689
19.507517,48,1.308651
20.066818,48,2.230198
20.996605,48,2.866969
21.417433,48,3.822334
21.62971,48,4.483778
20.356234,48,5.894564
21.509028,48,6.602752
19.209156,48,7.566521
21.333765,48,8.217528
21.760122,48,9.178799
20.854046,48,9.837323
21.170133,48,10.79498
21.442757,48,11.438705
21.906579,48,12.388944
21.496191,48,13.043682
21.493528,48,13.990027
21.510696,48,14.622204
21.618009,48,15.578114
22.013954,48,16.211127
21.248137,48,17.240487
21.615228,48,17.869702
21.583343,48,18.803692
21.751954,48,19.440611
22.049748,48,20.513317
21.05986,48,21.468035
21.603147,48,22.095762
21.887815,48,22.998026
21.860362,48,23.618707
21.616463,48,24.536256
21.856695,48,25.157797
21.652714,48,26.07378
21.154902,48,26.710228
21.481988,48,27.659317
21.573663,48,28.303198
20.26168,48,29.226631
21.409831,48,29.875775
21.495201,48,30.791286
21.047027,48,31.436425
21.704509,48,32.375323
21.376887,48,33.002113
21.600992,48,33.953703
21.440673,48,34.605787
21.620402,48,35.921646
21.725616,48,36.541047
21.817848,48,37.485239
21.860393,48,38.154696
21.666422,48,39.062978
21.735316,48,39.698952
21.791456,48,40.337428
21.846276,48,41.276284
21.773641,48,41.907083
21.756451,48,42.840662
21.504801,48,43.470163
21.219181,48,44.391916
21.845801,48,45.016014
21.810668,48,45.960314
21.797143,48,46.593467
21.987954,48,47.512896
22.022897,48,48.181471
21.636704,48,49.144684
21.600814,48,49.788656
21.495435,48,51.145747
21.864539,48,51.815464
21.880647,48,52.742197
21.860115,48,53.387092
21.637202,48,54.300332
21.504849,48,54.930735
21.597343,48,55.871488
21.947982,48,56.516602
21.089903,48,57.450725
21.794011,48,58.079783
21.473459,48,59.054691
21.585767,48,59.732037
21.155565,48,60.377839
21.564208,48,61.336871
21.610325,48,61.971639
21.901252,48,62.901968
21.747148,48,63.527356
21.736529,48,64.460937
21.618013,48,65.481239
21.464856,48,66.436576
21.142285,48,67.068893
