train/learning_rate,train/actor_loss,time/fps,rollout/ep_rew_mean,time/total_timesteps,train/critic_loss,time/episodes,train/ent_coef,rollout/ep_len_mean,train/n_updates,time/time_elapsed,eval/ep_b3_mean,eval/ep_pump_price_obj_std,eval/ep_pressure_obj_mean,eval/ep_timesteps_below_zero,eval/ep_b1_mean,eval/ep_pressure_obj_std,eval/ep_nodes_below_zero,eval/ep_b3_std,eval/ep_pump_price_obj_mean,eval/ep_b1_std,eval/ep_nodes_below_threshold,eval/ep_nodes_above_threshold,eval/ep_b2_std,eval/ep_b2_mean
0.003,-0.44072917103767395,667,14.04400925,384,0.02564099058508873,4,0.009999999776482582,48.0,35,0,,,,,,,,,,,,,,
,,658,14.04400925,384,,8,,48.0,,0,,,,,,,,,,,,,,
0.003,-0.6167052984237671,644,17.638939125,768,0.00823025219142437,12,0.009999999776482582,48.0,83,1,,,,,,,,,,,,,,
,,641,17.638939125,768,,16,,48.0,,1,,,,,,,,,,,,,,
0.003,-0.7208835482597351,559,18.896192000000003,1152,0.0082924272865057,20,0.009999999776482582,48.0,131,2,0.6315005522254429,0.22523354916875682,0.9517543859649122,0,0.9782397700471008,0.11274284325112463,0.0,0.17588318606040265,0.4570455946199296,0.01852391251085742,0.047261009667024706,0.0,0.29525603985938614,0.3989468324538803
,,553,18.896192000000003,1152,,24,,48.0,,2,,,,,,,,,,,,,,
0.003,-0.772449791431427,575,19.50934890625,1536,0.00843840278685093,28,0.009999999776482582,48.0,179,2,,,,,,,,,,,,,,
,,574,19.50934890625,1536,,32,,48.0,,2,,,,,,,,,,,,,,
0.003,-0.913860023021698,540,19.911895125,1920,0.012211720459163189,36,0.009999999776482582,48.0,227,3,0.8446663670046856,0.15561740640247196,1.0,0,0.8865297961863406,0.0,0.0,0.16390208189434324,0.5425548888642008,0.1546349771287724,0.0,0.0,0.15635059116679967,0.3110442123232246
,,537,19.911895125,1920,,40,,48.0,,3,,,,,,,,,,,,,,
0.003,-1.014866590499878,552,20.137620458333334,2304,0.007570761255919933,44,0.009999999776482582,48.0,275,4,,,,,,,,,,,,,,
,,551,20.137620458333334,2304,,48,,48.0,,4,,,,,,,,,,,,,,
