#{"t_start": 1744290173.74567, "env_id": "ATM"}
r,l,t
13.860597,48,0.87856
21.710663,48,1.495221
21.315134,48,2.365012
20.805186,48,2.972418
21.092598,48,3.856219
21.857738,48,4.472482
21.697423,48,5.382129
17.863583,48,6.019616
21.765825,48,6.941092
21.785117,48,7.585007
21.541147,48,8.507908
21.493399,48,9.124593
21.757642,48,10.031997
21.826785,48,10.654218
20.460185,48,11.589473
21.154947,48,12.258001
21.955654,48,13.469751
21.74256,48,14.084354
21.731315,48,15.004814
21.819144,48,15.635649
21.551729,48,16.578121
21.518341,48,17.195772
21.105117,48,18.164713
21.837836,48,18.774081
21.865953,48,19.381066
21.479194,48,20.313663
21.88811,48,20.916855
21.890677,48,21.843553
21.971058,48,22.46057
21.764885,48,23.374796
20.994046,48,24.011501
21.782016,48,24.948518
22.057914,48,25.566495
21.848271,48,26.499935
21.831634,48,27.123014
21.89571,48,28.114461
21.856983,48,28.772507
21.843453,48,29.696249
21.979602,48,30.308831
21.881328,48,31.209109
21.865289,48,31.821098
21.587926,48,32.777049
21.635333,48,33.393248
21.099288,48,34.298164
21.758614,48,34.931779
21.808932,48,35.83981
21.78947,48,36.459199
21.386801,48,37.362928
21.910949,48,37.983937
20.973307,48,38.586059
21.718652,48,39.538333
21.608116,48,40.169444
21.829893,48,41.093562
21.898911,48,41.716777
21.977551,48,42.640009
21.811483,48,43.308213
21.68029,48,44.215458
21.794732,48,44.844479
21.571004,48,45.773745
21.812447,48,46.402024
21.770899,48,47.336279
21.650264,48,47.956647
21.583607,48,48.905378
20.556659,48,49.552974
21.38448,48,50.585919
21.803136,48,51.22963
21.568103,48,52.156021
21.501234,48,52.804301
21.602184,48,53.743951
21.606944,48,54.368725
21.795904,48,55.277986
21.506968,48,55.900921
21.691047,48,56.850064
21.43884,48,57.470977
21.47354,48,58.137557
21.783836,48,59.087135
21.453193,48,59.692737
21.386115,48,60.631517
21.503812,48,61.268665
21.770781,48,62.191725
21.500664,48,62.826917
21.529459,48,63.746283
21.69104,48,64.378623
22.090479,48,65.319317
21.701165,48,65.950572
21.718968,48,66.896276
21.580315,48,67.536162
21.917984,48,68.46723
21.728865,48,69.096478
21.956422,48,70.029286
21.563057,48,70.694274
21.788002,48,71.631157
21.76139,48,72.258887
21.406369,48,73.220559
22.028967,48,73.855999
21.642667,48,74.775886
21.281252,48,75.406426
21.774819,48,76.327024
21.31848,48,76.959335
21.061369,48,77.587271
21.771749,48,78.532557
21.522676,48,79.144982
21.844041,48,80.069761
22.057344,48,80.710113
21.491523,48,81.680341
21.519652,48,82.312741
21.188343,48,83.234758
21.663733,48,83.867285
21.577412,48,84.812897
21.688648,48,85.447687
21.168356,48,86.369638
21.808173,48,86.991966
21.514211,48,87.952624
21.507611,48,88.599993
21.689033,48,89.545675
21.033689,48,90.178588
21.458174,48,91.097461
21.371684,48,91.74562
21.469266,48,92.695873
21.262214,48,93.329723
21.338164,48,94.302635
21.238425,48,94.931061
21.24334,48,95.863995
21.609564,48,96.488666
21.585799,48,97.099089
21.070867,48,98.049388
21.171766,48,98.674355
20.853228,48,99.602547
21.637024,48,100.238568
21.449759,48,101.168308
21.579316,48,101.808971
21.541826,48,102.891249
21.672895,48,103.6113
21.336262,48,104.539843
21.345224,48,105.164951
21.882766,48,106.094584
21.256406,48,106.729422
21.050083,48,107.669395
21.621893,48,108.315222
21.723628,48,109.250174
21.813001,48,109.907822
21.570717,48,110.853014
21.414543,48,111.504665
21.701045,48,112.446345
21.273283,48,113.119774
21.280364,48,114.065004
21.709469,48,114.694912
21.25364,48,115.647241
21.332821,48,116.288105
21.884217,48,116.920527
21.903992,48,117.932005
21.436747,48,118.569723
21.994091,48,119.51183
21.549237,48,120.14597
21.718036,48,121.086811
22.005523,48,121.722938
21.892212,48,122.669771
21.560409,48,123.341225
21.551008,48,124.285626
21.754864,48,124.931389
21.773728,48,125.880897
21.762818,48,126.520213
21.891226,48,127.462684
21.83595,48,128.105828
21.469533,48,129.078536
21.626457,48,129.7369
21.60204,48,130.713779
21.428032,48,131.354428
21.824319,48,132.300133
22.008873,48,133.062224
21.697264,48,134.049178
21.846787,48,134.696456
21.627455,48,135.668323
21.875201,48,136.343637
21.39585,48,136.994401
21.537994,48,137.994208
21.947317,48,138.653531
22.156816,48,139.607895
21.959641,48,140.239273
21.291083,48,141.170986
21.953712,48,141.80253
21.818512,48,142.756827
21.786484,48,143.427912
21.841307,48,144.441033
22.117286,48,145.130611
22.036445,48,146.143892
21.60026,48,146.800758
21.461677,48,147.82806
21.655933,48,148.536907
21.939819,48,149.620518
21.956451,48,150.304546
21.960498,48,151.265616
21.782802,48,152.010008
21.761673,48,153.035632
22.0252,48,153.722005
21.390338,48,154.824964
21.700253,48,155.541732
21.456955,48,156.526748
22.063777,48,157.208415
21.776958,48,157.826449
21.563384,48,158.80289
21.590373,48,159.434632
21.971509,48,160.35765
21.848534,48,161.022187
22.10449,48,161.976956
22.042099,48,162.621634
21.62996,48,163.565868
21.712318,48,164.19563
22.093487,48,165.161733
21.880238,48,165.828075
21.344011,48,166.75701
20.851178,48,167.405447
21.86756,48,168.326972
21.933981,48,168.953021
21.918607,48,169.907912
21.437929,48,170.547525
21.546165,48,171.477484
21.683883,48,172.120543
21.447585,48,173.058578
21.862517,48,173.711169
22.086798,48,174.660387
21.830621,48,175.297584
21.756346,48,176.266073
21.993822,48,176.9031
21.731707,48,177.536413
21.305924,48,178.467927
21.589675,48,179.096749
21.649506,48,180.032552
21.538173,48,180.68039
22.023139,48,181.651526
21.490477,48,182.291939
21.77192,48,183.247247
22.039967,48,183.887272
21.48328,48,184.823786
21.539242,48,185.46767
21.672074,48,186.442829
21.49363,48,187.102489
21.937879,48,188.046687
21.87761,48,188.686623
21.651564,48,189.622671
21.60293,48,190.250332
21.981829,48,191.19518
21.639703,48,191.850349
21.568045,48,192.824651
21.881262,48,193.491428
21.882031,48,194.436172
21.935838,48,195.072062
20.94842,48,196.015491
21.800916,48,196.652173
21.766024,48,197.317952
21.676549,48,198.27554
21.720053,48,198.895563
21.7885,48,199.842729
21.836308,48,200.548626
21.753349,48,201.592821
21.451725,48,202.251459
21.722327,48,203.212685
21.795981,48,203.870398
21.93054,48,204.896211
21.434353,48,205.83124
