#{"t_start": 1744205041.5842, "env_id": "ATM"}
r,l,t
13.584403,48,0.753228
16.404627,48,1.376595
19.550157,48,2.259022
21.640129,48,2.86955
21.763178,48,3.802781
21.96426,48,4.453009
21.55564,48,5.422101
19.371265,48,6.066969
21.079306,48,7.541776
19.724771,48,8.217755
21.997598,48,9.16022
21.416718,48,9.847835
21.894264,48,10.820119
21.213658,48,11.447449
21.795858,48,12.386676
20.102385,48,13.002393
21.733729,48,13.926908
19.416245,48,14.575649
21.619955,48,15.560007
21.036361,48,16.222854
21.226438,48,17.248507
21.761725,48,17.888566
21.823393,48,18.827954
21.702653,48,19.475828
20.257271,48,20.118313
20.831428,48,21.083724
21.119243,48,21.758033
21.457537,48,23.11571
22.134184,48,23.741178
20.985212,48,24.652018
21.901512,48,25.304001
21.228737,48,26.290202
21.892059,48,26.955625
21.822165,48,27.889554
21.051478,48,28.554628
20.074479,48,29.516448
21.159251,48,30.167947
21.708863,48,31.120728
21.62373,48,31.783766
19.980278,48,32.713673
21.080759,48,33.362147
21.816553,48,34.330699
21.912825,48,34.973508
21.897816,48,35.887409
21.941197,48,36.54598
21.629888,48,37.917582
20.280088,48,38.569098
20.276457,48,39.513341
21.336563,48,40.159371
21.432879,48,40.792324
21.633952,48,41.734437
20.289535,48,42.362182
21.66408,48,43.304215
21.69706,48,43.944236
21.935546,48,44.869348
21.196989,48,45.506752
20.756579,48,46.422315
21.587691,48,47.073491
21.153628,48,48.030097
21.254175,48,48.665309
20.967335,48,49.599081
21.334673,48,50.258259
21.566416,48,51.217427
21.711235,48,51.864149
22.046722,48,53.254122
20.258044,48,53.894436
21.374678,48,54.82626
21.717006,48,55.472257
21.407376,48,56.422832
20.352957,48,57.08002
21.459077,48,58.082461
22.071871,48,58.716411
21.107146,48,59.652998
21.176162,48,60.285409
21.745618,48,60.900754
21.159991,48,61.846311
21.177726,48,62.475642
21.722091,48,63.416438
20.896005,48,64.068029
20.54434,48,65.015506
21.224271,48,65.649758
20.403654,48,66.597224
21.690647,48,67.69861
21.659794,48,68.724382
20.352345,48,69.375886
20.314625,48,70.330719
21.16538,48,71.000717
21.297357,48,71.988389
21.644504,48,72.636881
20.608088,48,73.615464
20.234481,48,74.288387
21.186155,48,75.274536
20.339977,48,75.937907
21.265105,48,76.924577
20.231595,48,77.620973
20.505431,48,78.60213
20.24971,48,79.284225
21.078531,48,80.267372
20.457863,48,80.934592
21.819388,48,81.586184
21.257637,48,83.031245
21.605165,48,83.691661
21.653762,48,84.650063
21.583721,48,85.315974
20.644264,48,86.299078
20.378353,48,86.984514
21.669717,48,87.954706
20.688332,48,88.613469
21.458156,48,89.61381
19.822904,48,90.287684
21.142803,48,91.274465
19.956907,48,91.938583
21.84812,48,92.925709
19.617958,48,93.57326
21.402342,48,94.532293
21.282624,48,95.183683
19.670794,48,96.143649
20.252914,48,96.797877
19.87444,48,98.217074
21.922125,48,98.927912
22.019459,48,99.92456
21.589519,48,100.575882
20.390661,48,101.531468
21.681124,48,102.178417
21.628447,48,102.819604
21.090746,48,103.793497
21.381648,48,104.427145
21.607942,48,105.377198
21.614734,48,106.035848
20.501717,48,106.982707
21.191001,48,107.656027
19.980509,48,108.626319
21.927378,48,109.278821
21.561406,48,110.271403
21.119716,48,110.970035
20.413298,48,111.940822
20.453035,48,113.055157
20.958896,48,114.018432
20.259815,48,114.662923
21.292303,48,115.618608
19.983249,48,116.268761
21.821757,48,117.251354
21.200733,48,117.902471
21.229342,48,118.866504
21.013382,48,119.524831
20.008866,48,120.538977
21.278671,48,121.272615
21.83777,48,122.239315
20.803491,48,122.902232
20.508617,48,123.550913
21.718123,48,124.511456
20.088977,48,125.16125
21.831877,48,126.114317
21.833636,48,126.768524
21.758103,48,128.008663
21.208497,48,128.643547
21.381726,48,129.585935
21.911555,48,130.255952
20.731498,48,131.251348
21.57491,48,131.947184
21.594752,48,132.910233
21.03505,48,133.556676
20.709199,48,134.511762
21.683522,48,135.154672
19.95193,48,136.124464
20.917271,48,136.770097
21.689261,48,137.755559
21.660158,48,138.408847
19.964192,48,139.371051
21.662571,48,140.024357
20.018261,48,140.988534
