time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,time/episodes,rollout/ep_rew_mean,train/actor_loss,time/time_elapsed,train/critic_loss,train/n_updates,train/ent_coef,eval/ep_b3_mean,eval/ep_pump_price_obj_std,eval/ep_b2_mean,eval/ep_b2_std,eval/ep_b1_std,eval/ep_pressure_obj_mean,eval/ep_b1_mean,eval/ep_pump_price_obj_mean,eval/ep_b3_std,eval/ep_pressure_obj_std
661,48.0,384,0.003,4,15.691833125,-0.40055009722709656,0,0.04688234627246857,35,0.009999999776482582,,,,,,,,,,
653,48.0,384,,8,15.691833125,,0,,,,,,,,,,,,,
641,48.0,768,0.003,12,18.259057437499997,-0.6375887393951416,1,0.017223328351974487,83,0.009999999776482582,,,,,,,,,,
637,48.0,768,,16,18.259057437499997,,1,,,,,,,,,,,,,
543,48.0,1152,0.003,20,19.054920541666664,-0.7608683109283447,2,0.007925260812044144,131,0.009999999776482582,0.9800648315481644,0.2326442866781897,0.6703542900926404,0.24999865369166746,0.19788488150247205,0.8815789473684211,0.25006876024866165,0.40206587383529985,0.016130736379500018,0.2047068004915851
539,48.0,1152,,24,19.054920541666664,,2,,,,,,,,,,,,,
558,48.0,1536,0.003,28,18.2716945,-0.8020856380462646,2,0.01563677377998829,179,0.009999999776482582,,,,,,,,,,
557,48.0,1536,,32,18.2716945,,2,,,,,,,,,,,,,
516,48.0,1920,0.003,36,18.906157474999997,-0.8934674859046936,3,0.016309376806020737,227,0.009999999776482582,0.9834790074964825,0.17742329755305727,0.42258732337019084,0.13859708198791332,0.22669320699666157,0.9572368421052632,0.6500985983338362,0.48449088252692046,0.018721695572057526,0.10838389104275158
514,48.0,1920,,40,18.906157474999997,,3,,,,,,,,,,,,,
532,48.0,2304,0.003,44,19.34545483333333,-1.0173366069793701,4,0.011043579317629337,275,0.009999999776482582,,,,,,,,,,
531,48.0,2304,,48,19.34545483333333,,4,,,,,,,,,,,,,
511,48.0,2688,0.003,52,19.668597928571426,-1.1054202318191528,5,0.012935571372509003,323,0.009999999776482582,0.9471070246690041,0.10825873858122144,0.5357631844514893,0.2645342498064418,0.1931326389477577,0.9945175438596491,0.5674432214080758,0.585163786742572,0.034585062687736846,0.03798357034142275
509,48.0,2688,,56,19.668597928571426,,5,,,,,,,,,,,,,
522,48.0,3072,0.003,60,19.82596734375,-1.1660997867584229,5,0.015616693533957005,371,0.009999999776482582,,,,,,,,,,
522,48.0,3072,,64,19.82596734375,,5,,,,,,,,,,,,,
508,48.0,3456,0.003,68,20.002288208333333,-1.2632637023925781,6,0.01633141189813614,419,0.009999999776482582,0.9282840213866517,0.17580137846605548,0.695068216870188,0.22112507836822645,0.16647839453073093,0.9934210526315789,0.6104083683681202,0.5710893142901954,0.07124956148786393,0.038576974263939384
506,48.0,3456,,72,20.002288208333333,,6,,,,,,,,,,,,,
516,48.0,3840,0.003,76,20.1369305,-1.3201531171798706,7,0.017469365149736404,467,0.009999999776482582,,,,,,,,,,
516,48.0,3840,,80,20.1369305,,7,,,,,,,,,,,,,
504,48.0,4224,0.003,84,20.24559709090909,-1.415162205696106,8,0.015799708664417267,515,0.009999999776482582,0.9409221450546217,0.14204710102292697,0.7742351595834001,0.11909710391349178,0.2155434883604569,0.9945175438596491,0.6146369140630553,0.5690788055816974,0.06426135029135363,0.03798357034142275
503,48.0,4224,,88,20.24559709090909,,8,,,,,,,,,,,,,
511,48.0,4608,0.003,92,20.30764228125,-1.497589349746704,9,0.0114199910312891,563,0.009999999776482582,,,,,,,,,,
510,48.0,4608,,96,20.30764228125,,9,,,,,,,,,,,,,
501,48.0,4992,0.003,100,20.52308472,-1.5462411642074585,9,0.00694916071370244,611,0.009999999776482582,0.9412073593619785,0.1493239404256853,0.6811791182162001,0.17739977416137165,0.20503279933359508,0.9769736842105262,0.551451533025207,0.5519328163330434,0.08444531932670572,0.08611114543875655
500,48.0,4992,,104,20.52308472,,9,,,,,,,,,,,,,
507,48.0,5376,0.003,108,20.72956291,-1.6181042194366455,10,0.013853844255208969,659,0.009999999776482582,,,,,,,,,,
506,48.0,5376,,112,20.72956291,,10,,,,,,,,,,,,,
499,48.0,5760,0.003,116,20.807150590000003,-1.7593746185302734,11,0.014587127603590488,707,0.009999999776482582,0.9547245603087864,0.17119658773453458,0.5520906008617409,0.27454404532254895,0.2480436193738596,1.0,0.4964675947983125,0.5580006105324125,0.029505033319289033,0.0
498,48.0,5760,,120,20.807150590000003,,11,,,,,,,,,,,,,
504,48.0,6144,0.003,124,20.99224503,-1.7951480150222778,12,0.008721361868083477,755,0.009999999776482582,,,,,,,,,,
503,48.0,6144,,128,20.99224503,,12,,,,,,,,,,,,,
