Time,pressure_obj,tank_obj,pump_efficiency_obj,smoothness_obj,pump_price_obj,hydraulically_unstable,reward,centered
1800,1.0,0.838919357194458,0,0,0.6769957000622824,False,0.9676995700062283,True
3600,1.0,0.6963618113096477,0,0,0.6885547933970007,False,0.9688554793397001,True
5400,1.0,0.567032542256055,0,0,0.6878187419638844,False,0.9687818741963885,True
7200,1.0,0.522267863848539,0,0,0.6798310454809888,False,0.9679831045480989,True
9000,1.0,0.6136540282195716,0,0,0.6278302637956523,False,0.9627830263795653,True
10800,1.0,0.45641895462459475,0,0,0.8115451973559515,False,0.9811545197355952,True
12600,1.0,0.27216410155356735,0,0,0.8703607822498981,False,0.9870360782249898,True
14400,1.0,0.30094571846827545,0,0,0.8694790088986403,False,0.9869479008898641,True
16200,1.0,0.46118254579928164,0,0,0.7694637572426721,False,0.9769463757242672,True
18000,1.0,0.41530120438252627,0,0,0.8058836699508719,False,0.9805883669950872,True
19800,1.0,0.4191148717121048,0,0,0.806043397366759,False,0.9806043397366759,True
21600,1.0,0.6687176149102144,0,0,0.717168875633144,False,0.9717168875633144,True
23400,1.0,0.7330360535528019,0,0,0.34607017410763763,False,0.9346070174107638,True
25200,0.7368421052631579,0.8476296012001641,0,0,0.3568475226493596,False,0.698842647001778,True
27000,1.0,0.7313226069267573,0,0,0.2665454053433204,False,0.926654540534332,True
28800,1.0,0.6345607504287872,0,0,0.30544613280545985,False,0.930544613280546,True
30600,1.0,0.6533595367516398,0,0,0.3862390823933257,False,0.9386239082393326,True
32400,1.0,0.30853858089576924,0,0,0.8751330324616011,False,0.9875133032461602,True
34200,1.0,0.0,0,0,1.0,False,1.0,True
36000,1.0,0.39373829700375457,0,0,0.7637607458110784,False,0.9763760745811079,True
37800,1.0,0.7581005294921298,0,0,0.3884890268631537,False,0.9388489026863154,True
39600,1.0,0.96937363851217,0,0,0.2800161886750058,False,0.9280016188675007,True
41400,1.0,0.6353852146770943,0,0,0.29733345718705273,False,0.9297333457187053,True
43200,1.0,0.8338529859868029,0,0,0.3094257779117383,False,0.9309425777911738,True
45000,1.0,0.8620562006704323,0,0,0.41667201619572924,False,0.941667201619573,True
46800,1.0,0.6755301575705883,0,0,0.4943136329663532,False,0.9494313632966354,True
48600,1.0,0.6012187550599332,0,0,0.4870610495478961,False,0.9487061049547896,True
50400,1.0,0.8421519661556475,0,0,0.33649824464532807,False,0.9336498244645328,True
52200,1.0,0.9576020368378194,0,0,0.28493648206927447,False,0.9284936482069275,True
54000,1.0,0.7303269079628218,0,0,0.487346579934431,False,0.9487346579934431,True
55800,1.0,0.7094310896593147,0,0,0.5424957392310743,False,0.9542495739231075,True
57600,1.0,0.3954303576410333,0,0,0.7062781266616733,False,0.9706278126661674,True
59400,0.7368421052631579,0.3812884774857005,0,0,0.7566731044088066,False,0.7388252051777228,True
61200,1.0,0.8515605247971009,0,0,0.3825760832843347,False,0.9382576083284335,True
63000,1.0,0.8186386135425687,0,0,0.34738460050183606,False,0.9347384600501836,True
64800,1.0,0.7606310755735632,0,0,0.6584362054144874,False,0.9658436205414488,True
66600,1.0,0.8436619046851241,0,0,0.7120975660356956,False,0.9712097566035696,True
68400,1.0,0.8222418271872705,0,0,0.6878405089609119,False,0.9687840508960912,True
70200,1.0,0.6752496402432236,0,0,0.659256229013669,False,0.965925622901367,True
72000,1.0,0.7065558554823491,0,0,0.6672936415754576,False,0.9667293641575457,True
73800,1.0,0.695809727249494,0,0,0.6715755717495326,False,0.9671575571749533,True
75600,1.0,0.3964832811007624,0,0,0.7037703841457951,False,0.9703770384145796,True
77400,1.0,1.0,0,0,0.8303919310519428,False,0.9830391931051943,True
79200,1.0,0.8108957156562353,0,0,0.5733527653641932,False,0.9573352765364194,True
81000,1.0,0.701563194084698,0,0,0.5693160911471162,False,0.9569316091147116,True
82800,1.0,0.6083222070666314,0,0,0.5837186831228274,False,0.9583718683122827,True
84600,1.0,0.6488694969733058,0,0,0.6550570416891566,False,0.9655057041689157,True
86400,1.0,0.0,0,0,1.0,False,1.0,True
