time/fps,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,time/episodes,rollout/ep_rew_mean,train/actor_loss,time/time_elapsed,train/critic_loss,train/n_updates,train/ent_coef,eval/ep_b3_mean,eval/ep_pump_price_obj_std,eval/ep_b2_mean,eval/ep_b2_std,eval/ep_b1_std,eval/ep_pressure_obj_mean,eval/ep_b1_mean,eval/ep_pump_price_obj_mean,eval/ep_b3_std,eval/ep_pressure_obj_std
618,48.0,384,0.003,4,13.28353175,-0.34628695249557495,0,0.05534914880990982,35,0.009999999776482582,,,,,,,,,,
613,48.0,384,,8,13.28353175,,0,,,,,,,,,,,,,
617,48.0,768,0.003,12,12.5204095625,-0.5219346284866333,1,0.038476549088954926,83,0.009999999776482582,,,,,,,,,,
615,48.0,768,,16,12.5204095625,,1,,,,,,,,,,,,,
549,48.0,1152,0.003,20,15.467392416666664,-0.7478805184364319,2,0.021500039845705032,131,0.009999999776482582,0.8483802302412491,0.12862995200872032,0.7561312534968871,0.05406937457970774,0.026480204544095776,1.0,0.9560462907524212,0.5740811003465242,0.08066447483287048,0.0
546,48.0,1152,,24,15.467392416666664,,2,,,,,,,,,,,,,
567,48.0,1536,0.003,28,16.90891553125,-0.7749595642089844,2,0.015395235270261765,179,0.009999999776482582,,,,,,,,,,
566,48.0,1536,,32,16.90891553125,,2,,,,,,,,,,,,,
532,48.0,1920,0.003,36,17.783666825,-0.9235926866531372,3,0.021647943183779716,227,0.009999999776482582,0.7843693911682237,0.1871732006207717,0.7439518350108953,0.19798443403304827,0.061352388356493044,1.0,0.9065831123221364,0.6009042103536292,0.11876832620657327,0.0
530,48.0,1920,,40,17.783666825,,3,,,,,,,,,,,,,
545,48.0,2304,0.003,44,18.183601416666665,-0.9430939555168152,4,0.013996640220284462,275,0.009999999776482582,,,,,,,,,,
544,48.0,2304,,48,18.183601416666665,,4,,,,,,,,,,,,,
519,48.0,2688,0.003,52,18.623124214285717,-1.0626076459884644,5,0.015069542452692986,323,0.009999999776482582,0.7799920625485587,0.16776593099845424,0.6718152285219863,0.2438984855096997,0.07164660732426155,1.0,0.9191102667385905,0.6145979381838637,0.1327220430659831,0.0
518,48.0,2688,,56,18.623124214285717,,5,,,,,,,,,,,,,
529,48.0,3072,0.003,60,18.975224500000003,-1.1288397312164307,5,0.015600986778736115,371,0.009999999776482582,,,,,,,,,,
528,48.0,3072,,64,18.975224500000003,,5,,,,,,,,,,,,,
514,48.0,3456,0.003,68,19.22998263888889,-1.2386927604675293,6,0.02053610421717167,419,0.009999999776482582,0.726818187834622,0.12689326945322998,0.5001684346358793,0.2434242094784351,0.047391442004302564,0.9945175438596491,0.9154547540164194,0.6010375609189204,0.2836914079368486,0.03798357034142275
513,48.0,3456,,72,19.22998263888889,,6,,,,,,,,,,,,,
524,48.0,3840,0.003,76,19.4352891,-1.3087879419326782,7,0.010049732401967049,467,0.009999999776482582,,,,,,,,,,
523,48.0,3840,,80,19.4352891,,7,,,,,,,,,,,,,
511,48.0,4224,0.003,84,19.572843125,-1.3382278680801392,8,0.022545740008354187,515,0.009999999776482582,0.7823309992910298,0.17137453431715263,0.6436393234792211,0.19830258934275033,0.07396299446746198,0.9945175438596491,0.8914470139470106,0.603447599351619,0.22264018286439732,0.03798357034142275
511,48.0,4224,,88,19.572843125,,8,,,,,,,,,,,,,
519,48.0,4608,0.003,92,19.682347250000003,-1.4710159301757812,8,0.021505339071154594,563,0.009999999776482582,,,,,,,,,,
519,48.0,4608,,96,19.682347250000003,,8,,,,,,,,,,,,,
511,48.0,4992,0.003,100,20.070991479999996,-1.5814231634140015,9,0.013855831697583199,611,0.009999999776482582,0.8273510954470917,0.15886996306594234,0.5148030183134437,0.21910100702173912,0.05325426208475617,1.0,0.9038240048005344,0.5933197960635482,0.18391983460343822,0.0
510,48.0,4992,,104,20.070991479999996,,9,,,,,,,,,,,,,
517,48.0,5376,0.003,108,20.745599619999997,-1.6712124347686768,10,0.014891069382429123,659,0.009999999776482582,,,,,,,,,,
516,48.0,5376,,112,20.745599619999997,,10,,,,,,,,,,,,,
504,48.0,5760,0.003,116,21.16129238,-1.6986429691314697,11,0.019587308168411255,707,0.009999999776482582,0.7766481495286388,0.12532692717863947,0.6353006951044207,0.17532775303824202,0.07879232504533473,0.9868421052631579,0.8974729997426351,0.5886785549757658,0.2357022296327341,0.05482549457959081
504,48.0,5760,,120,21.16129238,,11,,,,,,,,,,,,,
