time/episodes,train/ent_coef,rollout/ep_len_mean,time/fps,train/learning_rate,time/total_timesteps,train/n_updates,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,eval/ep_pump_price_obj_mean,eval/ep_b1_std,eval/ep_pressure_obj_std,eval/ep_b3_mean,eval/ep_pressure_obj_mean,eval/ep_pump_price_obj_std,eval/ep_b3_std,eval/ep_b2_std,eval/ep_b2_mean,eval/ep_b1_mean
4,0.009999999776482582,48.0,664,0.003,384,35,0.03472862392663956,0,15.9035555,-0.45471981167793274,,,,,,,,,,
8,,48.0,656,,384,,,0,15.9035555,,,,,,,,,,,
12,0.009999999776482582,48.0,629,0.003,768,83,0.04266239330172539,1,15.3511956875,-0.598636269569397,,,,,,,,,,
16,,48.0,625,,768,,,1,15.3511956875,,,,,,,,,,,
20,0.009999999776482582,48.0,546,0.003,1152,131,0.016275744885206223,2,17.269425541666667,-0.7215827703475952,0.5175011158698157,0.042332329213171094,0.019822199398808166,0.4421509538031005,0.9912280701754383,0.11723846019953812,0.2463836330425978,0.07523386662363268,0.9133354314117207,0.9327503542166055
24,,48.0,543,,1152,,,2,17.269425541666667,,,,,,,,,,,
28,0.009999999776482582,48.0,561,0.003,1536,179,0.019464675337076187,2,18.21243365625,-0.7534643411636353,,,,,,,,,,
32,,48.0,560,,1536,,,2,18.21243365625,,,,,,,,,,,
36,0.009999999776482582,48.0,525,0.003,1920,227,0.015412755310535431,3,18.85109675,-0.938593327999115,0.5941916981615303,0.22108531257860814,0.0,0.8693342425038271,1.0,0.16943665283690154,0.11784083364247293,0.26845657555605723,0.7380211795460612,0.64291064249211
40,,48.0,523,,1920,,,3,18.85109675,,,,,,,,,,,
44,0.009999999776482582,48.0,538,0.003,2304,275,0.007959344424307346,4,19.30059075,-0.9970627427101135,,,,,,,,,,
48,,48.0,538,,2304,,,4,19.30059075,,,,,,,,,,,
52,0.009999999776482582,48.0,513,0.003,2688,323,0.011540664359927177,5,19.610878928571427,-1.0312652587890625,0.5851134056206496,0.16580797267868252,0.03798357034142275,0.9242009158906539,0.9945175438596491,0.13580333071979675,0.03267399753344078,0.09199622060034274,0.8392916417232988,0.5423940251939838
56,,48.0,512,,2688,,,5,19.610878928571427,,,,,,,,,,,
