#{"t_start": 1744204825.0970602, "env_id": "ATM"}
r,l,t
13.523549,48,0.6852
13.016304,48,1.303495
21.603597,48,2.208867
21.774428,48,2.847849
21.844233,48,3.781154
20.700159,48,4.429677
21.961385,48,5.384588
21.30781,48,6.024105
21.692111,48,6.961373
21.966995,48,7.602562
21.928303,48,8.545138
21.294483,48,9.201901
22.143696,48,10.142248
21.139511,48,10.831988
21.60951,48,11.775905
21.176397,48,12.425066
20.127782,48,13.855968
21.001276,48,14.530255
21.155679,48,15.455678
21.722951,48,16.096927
21.972024,48,17.066173
20.960328,48,17.69521
21.191597,48,18.625804
21.168643,48,19.274565
22.01096,48,19.901728
21.073714,48,20.846545
22.006881,48,21.541724
19.691662,48,22.530905
21.909914,48,23.201863
21.033029,48,24.207105
22.109905,48,24.863231
20.462134,48,25.824363
21.929224,48,26.485187
21.175826,48,27.426569
20.850159,48,28.06743
21.555747,48,29.417112
21.776237,48,30.06438
21.656122,48,31.010953
21.885448,48,31.681647
20.329433,48,32.769926
21.859617,48,33.50192
21.430186,48,34.540866
21.61317,48,35.262938
19.500809,48,36.272141
21.854195,48,36.935405
21.924315,48,37.885679
21.425157,48,38.52129
20.422493,48,39.479851
21.619008,48,40.106352
21.862899,48,40.716941
20.929019,48,41.675502
21.115677,48,42.328659
21.407427,48,43.308694
20.495452,48,44.366888
21.306586,48,45.31163
21.722959,48,45.971481
21.862377,48,46.89289
22.121938,48,47.530675
21.365517,48,48.460116
21.136599,48,49.102496
21.13323,48,50.05171
21.817492,48,50.674927
20.95808,48,51.650425
21.127371,48,52.283284
21.476529,48,53.218995
21.776482,48,53.876327
21.114927,48,54.808992
21.970273,48,55.434968
22.040705,48,56.39936
21.540344,48,57.022608
21.823432,48,57.98366
21.263173,48,59.040553
22.154897,48,59.995946
22.002593,48,60.639311
22.09673,48,61.291293
21.985565,48,62.238824
22.080335,48,62.864369
21.579211,48,63.836396
21.449231,48,64.462396
21.504183,48,65.431643
22.088993,48,66.074275
21.743228,48,67.009388
21.617816,48,67.660031
21.844891,48,68.618893
21.603426,48,69.26166
21.833843,48,70.21137
21.686713,48,70.837248
22.062623,48,71.796761
21.715616,48,72.416914
22.086459,48,73.356024
21.827841,48,74.487441
21.648297,48,75.427353
21.537673,48,76.080706
20.623161,48,77.033414
21.796524,48,77.674444
21.496135,48,78.628427
21.585706,48,79.275713
21.351477,48,80.229245
21.783132,48,80.857149
21.651986,48,81.486198
20.366766,48,82.462066
21.071001,48,83.085938
21.792935,48,84.049666
20.79457,48,84.732406
20.735529,48,85.704746
21.919854,48,86.337603
21.190044,48,87.301155
21.643708,48,87.933844
21.095333,48,89.201686
21.969216,48,89.847769
19.12469,48,90.786395
21.011204,48,91.452487
21.188081,48,92.394928
21.473652,48,93.043988
21.196714,48,94.000604
20.268982,48,94.653489
20.494747,48,95.636154
21.497377,48,96.263729
21.621731,48,97.196766
21.414248,48,97.843891
21.609677,48,98.76791
21.145834,48,99.406413
20.497769,48,100.395597
22.061419,48,101.046116
22.026138,48,101.672644
20.142195,48,102.633459
21.36677,48,103.290406
20.281214,48,104.551957
21.356804,48,105.195875
21.398276,48,106.18114
21.149071,48,106.832318
21.27974,48,107.772738
20.630586,48,108.420388
21.954427,48,109.357033
21.829326,48,109.985889
21.654125,48,110.938533
21.257287,48,111.575288
21.44127,48,112.539303
21.268806,48,113.27014
21.696471,48,114.314166
21.144019,48,115.002265
20.991429,48,115.949571
20.827785,48,116.598611
21.336184,48,117.547749
20.794255,48,118.196537
21.556371,48,119.611753
21.530196,48,120.277239
21.878707,48,121.243197
21.877427,48,121.958343
20.93925,48,122.62976
21.08025,48,123.625662
21.039061,48,124.284901
21.641653,48,125.251953
20.665032,48,125.915369
21.56832,48,126.887804
21.185262,48,127.522875
21.265433,48,128.483072
20.668147,48,129.116997
21.058876,48,130.079763
21.098964,48,130.728876
20.346699,48,131.679405
21.297314,48,132.324703
21.324705,48,133.276407
21.449428,48,134.353303
19.967968,48,135.289979
21.876655,48,135.905718
21.768295,48,136.857668
21.562636,48,137.550896
21.242148,48,138.489844
20.132359,48,139.141625
20.45723,48,140.070771
21.832264,48,140.724997
21.080008,48,141.69314
21.704673,48,142.331046
22.008467,48,142.968202
21.339899,48,143.904725
21.514331,48,144.534423
21.178488,48,145.489391
21.755598,48,146.116871
21.347862,48,147.07129
21.287003,48,147.697695
21.539776,48,149.071031
21.081376,48,149.726904
21.453767,48,150.690665
21.856632,48,151.331299
21.266739,48,152.315863
21.019196,48,152.944496
21.812364,48,153.911024
21.436929,48,154.557959
21.032148,48,155.501097
19.542381,48,156.153507
20.489169,48,157.099421
21.876672,48,157.745891
20.34855,48,158.725654
21.770973,48,159.370334
20.814355,48,160.337226
21.188481,48,160.975459
20.91527,48,161.925435
19.774269,48,162.57687
20.150962,48,163.224408
20.291456,48,164.525381
21.688354,48,165.168322
20.607118,48,166.148649
19.753071,48,166.79205
21.729138,48,167.736974
20.670337,48,168.380538
21.754229,48,169.356335
21.769263,48,170.06171
19.62305,48,171.056393
21.792794,48,171.692166
21.749978,48,172.645339
21.293697,48,173.317368
22.017348,48,174.248986
21.69611,48,174.898671
21.145689,48,175.849071
20.941833,48,176.496744
21.066279,48,177.455022
21.376639,48,178.105649
21.557434,48,179.502718
20.603235,48,180.139879
20.236634,48,181.10656
20.909576,48,181.753449
21.133656,48,182.700845
21.40738,48,183.352373
21.826473,48,183.997151
20.491196,48,184.983949
21.519243,48,185.629467
21.326517,48,186.587069
21.87656,48,187.226527
21.894959,48,188.180172
21.590764,48,188.819007
21.296451,48,189.779272
21.964696,48,190.429112
21.388818,48,191.388893
21.947964,48,192.043575
21.36451,48,192.99569
21.67543,48,194.100086
21.956186,48,195.073997
22.056763,48,195.705882
20.819983,48,196.666503
20.542806,48,197.322913
21.068463,48,198.276925
20.997614,48,198.923035
20.225887,48,199.880541
21.91852,48,200.525691
21.171593,48,201.446389
21.093647,48,202.094946
21.58388,48,203.063812
19.839031,48,203.728223
19.729441,48,204.382982
21.317943,48,205.373812
21.669418,48,206.073694
21.771454,48,207.110062
21.019538,48,207.764957
21.73699,48,209.190469
20.335245,48,209.869828
20.449401,48,210.891721
21.179567,48,211.5714
20.36025,48,212.563083
21.407767,48,213.237628
