Time,Trial-0,Trial-1,Trial-2,Trial-3,Trial-4,Trial-5,Trial-6,Trial-7,Trial-8,Trial-9
1800,0.9704182772050729,0.9704557747423926,0.9704886601285574,0.9704658756781659,0.9704282532000593,0.9704399233593047,0.9704258417042863,0.9704277288903213,0.9704265272131843,0.9704290992689198
3600,0.9862508164541066,0.9878196430173329,0.9877144443924301,0.987777366961777,0.9878163965716407,0.9878339311661435,0.9873614209301135,0.987510102858478,0.9878543234736296,0.987118806306043
5400,1.0,1.0,1.0,1.0,0.9948979624135085,1.0,1.0,1.0,0.9937656091119768,1.0
7200,0.9748334555907273,0.9734617797284235,0.9736787599774562,0.9737725085100678,0.9720021149041702,0.9718415992067534,0.9717606597595712,0.9704791190589981,0.9697099745534241,0.9720407307051696
9000,0.9621289193009145,0.962141654156772,0.9621791895892324,0.9620895838364196,0.9622776566491126,0.9624552322953567,0.9626676633872461,0.9625522432768293,0.9623010804909825,0.9620177683114524
10800,0.9656312720969066,0.9655091588387723,0.9659415341471281,0.9655187419579979,0.9652367619535152,0.9651962558450966,0.9646088217615589,0.9659443506884022,0.9665189172989554,0.966290778690258
12600,0.9716462465712249,0.9723252663721051,0.973496031243026,0.9733061804790633,0.9741151726810903,0.9734434931162881,0.9726571188282767,0.9761810446224574,0.9779163264743717,0.9789256136773439
14400,0.9823481103597651,0.9844924082143988,0.9864430628555616,0.987872834888811,0.9870897476005526,0.9858974850109153,0.9878766738538615,1.0,1.0,0.9868005635411369
16200,0.9867849464284619,0.9878021840284219,0.9785047574120344,1.0,1.0,0.9791248393273628,1.0,1.0,1.0,1.0
18000,0.9737038914687581,0.97141115883606,0.9680793934467283,0.9665543677843419,0.9668222469467261,0.9638761367411981,0.9676623321343231,0.9630606162686487,0.9620914946984764,0.9625200106029113
19800,0.9643563043180636,0.9626808754266065,0.9643727736694787,0.9649058588554141,0.9647269487028457,0.9712832328190331,0.963815635791695,0.9706587848859464,0.9661627144513355,0.9667217319242618
21600,0.9522069043505865,0.9513555863115373,0.9534595622340435,0.9537180847270718,0.9510130030662588,0.9575825259483796,0.9498173434426268,0.9589940519025099,0.9511330587596569,0.9541128184659006
23400,0.9428576076761944,0.9452531154792839,0.944749061367535,0.9444732380512896,0.942556953174312,0.94492188977174,0.9442941649068809,0.9457129561949119,0.9403380157425381,0.9437528857044822
